Year,Month,Day,Hour,Minute,tem_in,hum_in,tem_coil,tem_out,hum_out,cond
2016,4,1,0,0,16,24,11,9,42,0
2016,4,1,3,0,14,28,10,7,59,0
2016,4,1,6,0,13,33,10,6,56,0
2016,4,1,9,0,13,33,10,18,30,0
2016,4,1,12,0,16,28,10,18,20,0
2016,4,1,15,0,18,24,14,17,23,0
2016,4,1,18,0,17,28,14,12,52,0
2016,4,1,21,0,16,38,12,11,55,0
2016,4,2,0,0,15,41,12,10,57,0
2016,4,2,3,0,14,41,10,10,54,0
2016,4,2,6,0,13,38,11,9,52,0
2016,4,2,9,0,14,41,11,17,37,0
2016,4,2,12,0,17,35,13,22,23,0
2016,4,2,15,0,19,32,14,17,42,0
2016,4,2,18,0,19,40,13,17,48,0
2016,4,2,21,0,17,49,14,12,70,0
2016,4,3,0,0,17,54,14,12,70,0
2016,4,3,3,0,16,58,12,10,81,0
2016,4,3,6,0,15,60,13,11,76,0
2016,4,3,9,0,15,64,13,11,76,0
2016,4,3,12,0,16.1,61,13,13,63,0
2016,4,3,15,0,17,60,14,12,69,0
2016,4,3,18,0,16,50,13,11,62,0
2016,4,3,21,0,16,52,12,11,63,0
2016,4,4,0,0,15,28,11,11,68,0
2016,4,4,3,0,14,30,12,10,74,0
2016,4,4,6,0,13,37,11,9,78,0
2016,4,4,9,0,13,42,11,18,42,0
2016,4,4,12,0,17,26,14,16,44,0
2016,4,4,15,0,18,25,14,14,42,0
2016,4,4,18,0,18,18,15,13,35,0
2016,4,4,21,0,17,15,16,11,35,0
2016,4,5,0,0,15,21,12,8,44,0
2016,4,5,3,0,14,28,11,6,47,0
2016,4,5,6,0,13,34,11,6,60,0
2016,4,5,9,0,13,33,12,19,27,0
2016,4,5,12,0,17,30,14,14,42,0
2016,4,5,15,0,18,30,15,14,44,0
2016,4,5,18,0,19,29,15,16,25,0
2016,4,5,21,0,18,37,15,13,28,0
2016,4,6,0,0,17,53,13,9,32,0
2016,4,6,3,0,16,62,14,8,40,0
2016,4,6,6,0,16,66,13,6,51,0
2016,4,6,9,0,16,70,13,11,45,0
2016,4,6,12,0,17,60,14,19,28,0
2016,4,6,15,0,19,50,16,20,26,0
2016,4,6,18,0,19,49,16,19,33,0
2016,4,6,21,0,17,54,14,14,62,0
2016,4,7,0,0,16,63,14,12,74,0
2016,4,7,3,0,15,64,14,11,80,0
2016,4,7,6,0,15,62,13,11,83,0
2016,4,7,9,0,14,60,13,11,80,0
2016,4,7,12,0,16,58,14,13,55,0
2016,4,7,15,0,18,52,15,16,40,0
2016,4,7,18,0,17,57,15,16,53,0
2016,4,7,21,0,15,59,14,12,69,0
2016,4,8,0,0,15,62,14,11,79,0
2016,4,8,3,0,14,62,12,9,81,0
2016,4,8,6,0,14,65,10,9,79,0
2016,4,8,9,0,14,70,12,9,75,0
2016,4,8,12,0,15,72,13,12,63,0
2016,4,8,15,0,16,75,14,16,53,0
2016,4,8,18,0,17,69,15,14,61,0
2016,4,8,21,0,17,60,14,9,81,0
2016,4,9,0,0,16,60,14,9,82,0
2016,4,9,3,0,16,65,12,9,80,0
2016,4,9,6,0,16,66,13,9,85,0
2016,4,9,9,0,15,70,12,11,75,0
2016,4,9,12,0,16,68,14,12,72,0
2016,4,9,15,0,19,65,15,15,64,0
2016,4,9,18,0,18,60,15,13,70,0
2016,4,9,21,0,16,61,13,11,70,0
2016,4,10,0,0,16,46,12,10,79,0
2016,4,10,3,0,16,48,11,10,84,0
2016,4,10,6,0,15,56,9,11,81,0
2016,4,10,9,0,15,45,13,10,82,0
2016,4,10,12,0,17,41,14,12,74,0
2016,4,10,15,0,19,38,15,15,65,0
2016,4,10,18,0,19,38,16,12,74,0
2016,4,10,21,0,18,42,15,10,77,0
2016,4,11,0,0,16,46,10,12,46,0
2016,4,11,3,0,15,48,9,10,70,0
2016,4,11,6,0,15,50,10,9,64,0
2016,4,11,9,0,15,49,13,14,38,0
2016,4,11,12,0,16,46,14,15,42,0
2016,4,11,15,0,18,41,16,15,50,0
2016,4,11,18,0,19,41,16,15,44,0
2016,4,11,21,0,18,40,15,12,51,0
2016,4,12,0,0,17,44,13,10,67,0
2016,4,12,3,0,17,50,14,10,60,0
2016,4,12,6,0,17,66,13,9,63,0
2016,4,12,9,0,16,73,13,15,47,0
2016,4,12,12,0,18,78,14,16,42,1
