Year,Month,Day,Hour,Minute,tem_in,hum_in,tem_coil,tem_out,hum_out,cond
2016,4,1,0,0,13,32,10,9,42,0
2016,4,1,3,0,11,42,7,7,59,0
2016,4,1,6,0,10,44,7,6,56,0
2016,4,1,9,0,10,41,8,18,30,0
2016,4,1,12,0,14,30,9,18,20,0
2016,4,1,15,0,16,27,12,17,23,0
2016,4,1,18,0,15,38,12,12,52,0
2016,4,1,21,0,14,41,11,11,55,0
2016,4,2,0,0,13,49,11,10,57,0
2016,4,2,3,0,12,49,8,10,54,0
2016,4,2,6,0,11,47,9,9,52,0
2016,4,2,9,0,11,49,10,17,37,0
2016,4,2,12,0,15,40,11,22,23,0
2016,4,2,15,0,17,41,12,17,42,0
2016,4,2,18,0,17,46,13,17,48,0
2016,4,2,21,0,15,56,12,12,70,0
2016,4,3,0,0,15,62,12,12,70,0
2016,4,3,3,0,13,70,10,10,81,0
2016,4,3,6,0,13,76,11,11,76,0
2016,4,3,9,0,12,76,11,11,76,0
2016,4,3,12,0,13,70,12,13,63,0
2016,4,3,15,0,14,71,12,12,69,0
2016,4,3,18,0,13,60,10,11,62,0
2016,4,3,21,0,13,62,9,11,63,0
2016,4,4,0,0,12,34,9,11,68,0
2016,4,4,3,0,11,35,8,10,74,0
2016,4,4,6,0,11,41,6,9,78,0
2016,4,4,9,0,11,46,8,18,42,0
2016,4,4,12,0,14,40,12,16,44,0
2016,4,4,15,0,15,38,12,14,42,0
2016,4,4,18,0,16,28,13,13,35,0
2016,4,4,21,0,15,24,14,11,35,0
2016,4,5,0,0,13,25,8,8,44,0
2016,4,5,3,0,12,31,8,6,47,0
2016,4,5,6,0,10,39,7,6,60,0
2016,4,5,9,0,11,42,10,19,27,0
2016,4,5,12,0,15,35,13,14,42,0
2016,4,5,15,0,16,34,13,14,44,0
2016,4,5,18,0,17,36,14,16,25,0
2016,4,5,21,0,16,48,13,13,28,0
2016,4,6,0,0,15,62,11,9,32,0
2016,4,6,3,0,13,74,12,8,40,0
2016,4,6,6,0,13,79,11,6,51,0
