Year,Month,Day,Hour,Minute,tem_in,hum_in,tem_coil,tem_out,hum_out
2019,4,1,11,0,12.32,34.13,10.86,12.32,28.27
2019,4,2,7,0,9.27,42.77,9.76,3.68,64.01
2019,4,2,9,30,10.55,51.86,10.06,13.39,41.36
2019,4,2,15,0,13.66,22.59,11.17,10.06,22.13
2019,4,2,16,30,13.85,22.59,11.28,10.18,25
2019,4,2,19,30,12.75,27.75,11.43,8.44,35.5
2019,4,3,1,0,11.28,38.71,10.79,3.65,61.02
2019,4,3,4,30,10.4,42.83,10.37,1.36,70.36
2019,4,3,9,0,10.4,46.28,10.1,12.32,39.1
2019,4,4,6,0,9.63,49.69,10.1,1.88,81.47
2019,4,4,22,0,13.63,40.35,11.93,6.95,63.55
2019,4,4,23,0,13.05,45.15,11.7,6.67,67.28
2019,4,5,0,30,12.66,46.52,11.43,7.25,60.87
2019,4,5,18,0,15.62,23.32,12.85,12.99,26.74
2019,4,6,0,30,13.57,38.68,12.46,7.34,50.46
2019,4,6,17,0,15.37,26.56,13,13.97,24.66
2019,4,7,12,0,17.05,38.16,14.14,17.26,31.72
2019,4,8,1,30,14.85,37.97,14.07,11.43,42.06
2019,4,9,2,30,14,34.25,14.14,7.25,47.92
2019,4,9,9,0,14.18,31.62,13.95,11.37,32.94
2019,4,9,9,30,14.43,30.59,13.91,12.08,30.77
2019,4,10,4,30,11.86,61.08,12.35,6.15,82.94
2019,4,10,10,0,13.36,55.37,12.54,8.35,71.49
2019,4,10,16,30,14.24,53.57,12.73,10.21,66.36
2019,4,12,22,0,15.31,37.18,14.03,9.27,56.23
2019,4,13,7,30,12.17,46.86,12.43,8.99,52.59
2019,4,13,22,30,15.71,37.88,14.37,9.94,47.83
2019,4,14,11,30,14.33,61.11,13.5,10.09,79.49
2019,4,15,10,0,14.55,43.01,13.46,18.61,31.56
2019,4,15,16,0,18.24,23.72,15.06,17.11,19.41
2019,4,16,14,0,18.61,21.25,15.33,19.58,14.93
2019,4,17,14,0,19.52,30.43,16.28,16.04,40.2
2019,4,18,3,0,15.89,54.64,15.36,10.24,73.38
2019,4,19,13,30,17.91,59.83,15.82,16.47,60.29
2019,4,19,16,30,18.61,51.56,16.32,18.21,48.93
2019,4,20,19,30,18.76,57.91,17.12,14.21,68.99
2019,4,21,8,30,17.54,64.96,16.55,12.72,85.53
2019,4,21,11,0,17.78,67.06,16.62,14.24,79.15
2019,4,21,13,30,18.33,63.61,16.85,14.21,74.82
2019,4,21,18,30,18.67,59.1,17.31,14.24,72.31
2019,4,22,7,30,16.56,61.45,16.28,13.97,74.08
2019,4,22,8,30,17.05,64.01,16.39,18.88,57.91
2019,4,22,15,0,22.09,49.54,18.38,22.61,42.89
2019,4,23,7,30,18.85,58.52,18.11,15.83,68.1
2019,4,24,1,30,19.8,67.4,18.91,15.43,84.16
2019,4,25,22,0,16.38,61.2,17.77,10.06,82.3
2019,4,26,11,0,16.04,54.7,16.43,11.19,71.49
2019,4,27,4,0,14.37,51.74,14.95,8.05,72.83
2019,4,28,6,0,15.92,49.18,15.44,10.49,67.03
2019,4,29,10,30,16.81,48.96,15.75,15.16,49.42
2019,4,30,8,0,15.95,63.52,15.33,15.31,63.61
2019,4,30,14,0,20.29,50.12,16.78,18.79,44.6
2019,4,30,23,30,18.55,37.79,17.16,13.94,45.15
2019,5,1,2,30,18.03,41.73,17.12,12.96,54.46
2019,5,1,8,30,17.26,48.84,16.66,17.94,50.95
2019,5,1,9,0,17.63,50.03,16.7,19.07,47.47
2019,5,2,4,0,18.21,42.28,17.69,13.66,52.69
2019,5,2,19,30,21.63,22.25,19.49,17.69,26.16
2019,5,4,11,30,20.65,46.67,19.07,19.13,43.86
2019,5,5,11,30,21.63,41,19.52,23.37,31.93
2019,5,6,5,0,16.29,34.4,18.68,12.17,41.91
2019,5,7,1,30,17.2,43.25,17.92,11.07,55.68
2019,5,8,8,30,17.69,39.71,17.54,19.25,34.95
2019,5,8,10,30,19.31,38.1,18.11,23.61,27.56
2019,5,8,13,0,21.05,36.57,18.57,22.52,31.29
2019,5,9,3,30,18.21,51.31,17.84,12.01,72.19
2019,5,9,11,30,20.5,30.49,18.95,20.41,28.42
2019,5,9,18,30,20.9,36.17,19.33,17.36,40.05
2019,5,11,6,30,17.26,51.25,17.84,13.91,60.56
2019,5,11,17,0,23.25,22.47,20.21,19.92,16.48
2019,5,11,23,0,21.32,28.51,19.94,16.2,35.74
2019,5,13,0,0,21.87,35.26,20.63,17.48,41.85
2019,5,13,4,0,20.99,43.8,20.29,15.98,56.29
2019,5,14,16,0,24.29,43.8,21.66,22.12,42.31
2019,5,15,5,30,20.59,58.73,20.25,16.29,74.02
