Year,Month,Day,Hour,Minute,tem_in,hum_in,tem_coil,tem_out,hum_out
2019,4,3,12,30,12.63,47.31,9.37,11.43,50.15
2019,4,5,2,30,10.46,58.61,10.33,7.44,71.06
2019,4,5,8,0,11.95,72.31,10.63,10.34,78.08
2019,4,5,15,30,16.75,30.46,11.93,14.79,25.21
2019,4,6,6,30,9.18,42.7,11.01,4.6,54.33
2019,4,6,18,0,15.19,28.05,12.46,13.69,28.45
2019,4,6,22,30,13.88,33.73,12.5,11.53,37.73
2019,4,7,3,0,13.42,44.72,12.5,10.76,56.72
2019,4,8,2,0,13.88,39.62,13.72,11.25,43.56
2019,4,8,5,30,13.11,37.55,13.53,10.06,45.45
2019,4,9,5,30,11.13,41.94,12.96,8.38,44.66
2019,4,10,1,30,9.97,67.34,12.05,6.09,82.36
2019,4,10,13,0,12.14,60.29,11.82,8.84,71.46
2019,4,10,18,0,13.17,58.09,12.08,9.85,66.7
2019,4,11,2,30,10.58,64.26,11.32,4.66,84.77
2019,4,11,11,0,13.63,55.8,11.55,14.58,47.13
2019,4,11,20,30,14.03,44.81,12.27,10.82,50.89
2019,4,13,2,0,10.98,52.29,12.05,6.34,66.85
2019,4,13,7,0,9.54,55.4,11.32,7.1,61.97
2019,4,14,11,0,12.96,59.55,12.66,10.09,77.47
2019,4,14,15,30,15.4,57.45,13.23,13.17,60.78
2019,4,15,17,0,18,21.58,14.26,16.47,20.3
2019,4,16,4,0,10.58,47.74,12.39,6.64,52.63
2019,4,16,20,30,17.54,26.1,14.56,13.75,37.76
2019,4,17,14,30,18.88,35.78,15.1,15.8,47.77
2019,4,18,4,30,12.78,66.76,13.91,9.54,76.8
2019,4,19,0,30,14.52,72.47,14.91,11.83,84.77
2019,4,19,8,30,14.95,72.68,14.79,13.33,77.35
2019,4,20,2,30,15.53,56.44,15.56,12.44,64.47
2019,4,20,13,0,19.74,53.97,16.43,17.66,57.97
2019,4,21,5,30,15.98,71.83,16.17,12.47,83.76
2019,4,21,13,30,17.42,67.19,16.24,14.21,74.82
2019,4,22,7,30,14.55,72.28,15.52,13.97,74.08
2019,4,22,14,0,21.75,50.7,17.27,21.51,48.99
2019,4,26,20,0,12.96,64.44,15.06,9.73,72.25
2019,4,27,2,0,11.86,64.01,14.3,8.23,74.73
2019,4,28,7,0,13.14,60.53,13.88,10.12,70.02
2019,4,29,0,30,14.12,57.88,14.26,9.88,73.78
2019,4,30,6,30,13.17,75.21,13.91,11.13,86.32
2019,5,1,21,0,17.33,46.7,16.01,15.56,48.08
2019,5,2,0,30,16.23,45.97,15.86,12.78,50.7
2019,5,2,4,30,15.89,51.13,15.75,13.91,54.95
2019,5,2,18,30,20.32,25.55,17.46,18.94,23.6
2019,5,3,9,0,16.26,46.34,16.36,20.41,33.27
2019,5,5,20,0,20.2,38.55,18.38,17.78,43.1
2019,5,6,15,30,18.61,27.5,17.73,16.11,31.44
2019,5,6,19,30,16.99,38.52,17.58,13.42,46.03
2019,5,7,0,0,15.86,46.34,17.08,12.53,53.79
2019,5,7,6,30,12.5,53.39,15.75,10.06,61.69
2019,5,7,14,0,19.77,37.36,17.27,18.58,35.9
2019,5,7,21,30,17.02,33.7,17.2,13.17,42.58
2019,5,8,8,30,15.86,44.87,16.2,19.25,34.95
2019,5,8,14,0,21.23,35.62,17.84,22.82,30.4
2019,5,10,23,30,17.72,47.5,17.27,15.4,47.83
2019,5,11,0,0,17.48,48.69,17.23,14.64,59.19
2019,5,12,4,30,15.59,54,17.16,11.62,64.07
2019,5,12,5,0,15.43,55.65,17.04,11.56,68.93
2019,5,12,17,30,22.58,21.76,18.95,21.51,19.05
2019,5,13,1,30,18.91,43.99,18.61,17.45,44.02
2019,5,13,7,0,18.03,56.5,18.3,17.84,57.97
2019,5,14,3,30,17.14,68.28,18.46,14.67,75.21
2019,5,14,9,30,19.95,58.61,18.84,25.35,39.01
2019,5,15,11,30,22.21,51.56,19.64,24.19,40.66
2019,5,15,13,30,23.1,50.7,19.94,23.1,46.73
2019,5,15,14,0,23.1,50.21,19.94,22.39,47.59
2019,5,15,20,30,19.95,61.63,19.83,17.81,66.39
2019,5,16,23,0,22.21,54.76,21.05,20.44,57.26
2019,5,17,0,0,21.69,57.17,20.94,19.95,60.23
2019,5,17,13,0,24.84,45.48,21.36,26.39,38.49
2019,5,19,3,30,20.53,74.24,21.01,19.16,76.28
2019,5,19,10,30,20.38,78.02,20.9,19.4,79.82
2019,5,19,16,30,22.09,81.65,21.09,21.26,80.46
2019,5,20,0,30,21.29,84.49,21.09,20.01,88.03
2019,5,21,11,0,22.64,38.03,20.02,26.3,25.92
2019,5,21,16,30,24.56,28.27,21.01,23.34,29
2019,5,22,14,30,25.51,28.97,21.51,25.93,23.87
2019,5,23,4,0,19.25,58.21,20.33,16.14,68.65
2019,5,23,4,30,19,58.79,20.33,16.07,66.09
2019,5,23,14,30,24.62,51.43,21.85,23.31,52.53
2019,5,24,6,30,19.52,63.71,20.78,19.07,62.21
2019,5,26,2,30,21.75,65.45,22.5,19.74,70.36
2019,5,27,2,0,23.4,59.52,23.42,21.29,63.64
2019,5,27,11,30,22.3,74.54,22.69,20.65,79.85
2019,5,28,16,30,24.04,30.01,22.16,23.03,26.59
2019,5,29,0,30,19.92,49.69,21.36,16.11,60.2
2019,5,30,6,0,17.88,63.74,20.44,15.4,75.79
2019,5,30,19,30,22.48,46.92,21.81,20.44,49.79
2019,5,30,23,0,20.74,53.79,21.28,17.36,62.67
2019,5,31,5,30,18.82,56.68,20.59,16.23,64.65
2019,5,31,14,0,23.55,40.32,21.66,21.72,39.71
2019,6,1,16,30,21.78,54.21,20.67,19.92,56.32
2019,6,1,20,30,20.56,61.02,20.36,17.05,71.21
2019,6,1,21,30,20.38,59.65,20.44,17.33,67.34
2019,6,1,22,0,20.35,58.85,20.36,17.3,65.6
2019,6,2,12,30,23.46,43.41,20.71,23.4,39.9
2019,6,3,17,0,25.78,38.89,22.23,26.64,36.32
2019,6,4,5,0,19.98,65.66,21.28,17.72,70.88
2019,6,5,11,0,21.6,71.64,21.7,21.26,69.47
2019,6,5,12,30,22.76,68.93,22.04,21.45,68.53
2019,6,6,6,0,19.92,79.58,21.24,17.54,89.04
2019,6,6,6,30,19.77,79.03,21.16,17.6,88.61
2019,6,6,16,0,23.46,68.22,22.12,21.45,72.47
2019,6,7,15,30,22.33,68.68,21.32,22.61,63.58
2019,6,10,0,30,21.6,71.15,22.23,18.67,79
2019,6,10,17,0,23.49,54.91,22.19,21.69,56.35
2019,6,11,7,0,20.16,54.06,21.16,18.52,55.25
2019,6,14,0,0,22.58,54.06,22.54,20.65,56.62
2019,6,14,2,0,21.78,58.94,22.42,19.07,66.94
2019,6,14,2,30,21.69,60.53,22.5,19.07,66.85
2019,6,14,13,30,24.74,51.8,22.88,25.2,47.16
2019,6,14,23,30,22.39,58.61,22.73,19.74,65.05
2019,6,15,5,30,21.69,70.97,22.35,19.49,79.46
2019,6,15,6,0,21.78,72.92,22.54,20.29,76.98
2019,6,15,7,30,22.58,68.01,22.58,23.25,61.97
2019,6,15,20,0,24.32,56.04,23.26,22.03,59.74
2019,6,16,11,30,25.08,52.29,23.22,25.72,46.76
2019,6,16,13,30,25.45,52.35,23.42,23.86,54.49
2019,6,17,22,30,22.33,62.33,22.96,19.77,69.17
2019,6,18,7,0,21.23,68.99,22.39,20.65,67.98
2019,6,19,5,30,22.45,73.08,22.84,20.44,77.99
2019,6,19,23,30,22.48,72.77,23.11,19.83,80.68
2019,6,20,6,30,21.54,78.6,22.65,19.65,84.92
2019,6,21,0,0,22.91,72.92,23.19,20.81,78.94
2019,6,21,10,0,23.68,62.12,23.07,24.13,56.26
2019,6,22,7,0,22.12,60.84,22.88,22,58.36
2019,6,23,23,30,24.8,48.57,24.83,22.15,53.3
2019,6,24,3,0,23.1,56.23,24.41,19.71,64.47
2019,6,24,15,0,28.1,48.17,25.55,26.88,48.23
2019,6,26,19,0,26.39,58.52,25.29,24.9,60.16
2019,6,27,8,30,24.04,76.77,24.52,23,77.69
2019,6,27,12,30,26.51,68.19,24.94,26.18,64.8
2019,6,28,18,0,26.24,64.87,25.29,23.68,70.48
2019,6,28,20,30,25.2,69.08,25.21,22.79,75.12
2019,6,29,17,30,25.69,70.67,24.94,24.38,72.62
