Year,Month,Day,Hour,Minute,24H,24H_P,48H,48H_P
2019,4,1,11,0,0,1.1555673867117133e-28,0,9.721737180609247e-24
2019,4,2,7,0,0,1.863704275255983e-32,0,6.233810911941935e-28
2019,4,2,9,30,0,1.2106457382819167e-24,0,6.653155939859572e-22
2019,4,2,15,0,0,3.4267882009544064e-28,0,5.0894408053735e-25
2019,4,2,16,30,0,2.846684674683775e-29,0,1.2373049509186414e-28
2019,4,2,19,30,0,6.778771337581856e-29,0,2.6701151095047056e-19
2019,4,3,1,0,0,1.2272017949659033e-25,0,8.97445394391944e-20
2019,4,3,4,30,0,6.161403967409425e-26,0,1.168548374179276e-17
2019,4,3,9,0,0,1.189168540243549e-23,0,2.4830332820937413e-17
2019,4,4,6,0,0,1.1246130829182512e-17,0,8.999749097089891e-31
2019,4,4,22,0,0,4.329515746651894e-33,0,3.1523507317698194e-25
2019,4,4,23,0,0,5.731833306155561e-31,0,1.4341606109163846e-26
2019,4,5,0,30,0,5.129899797824861e-29,0,1.0531370694494015e-26
2019,4,5,18,0,0,7.722689638784635e-24,0,6.121828171605312e-29
2019,4,6,0,30,0,1.0626215853082159e-26,0,2.6746271510211368e-27
2019,4,6,17,0,0,1.52524974969529e-28,0,2.8461916642324465e-32
2019,4,7,12,0,0,5.652552596914202e-29,0,5.547656638750918e-29
2019,4,8,1,30,0,1.489406766308685e-25,0,5.2896821819174885e-14
2019,4,9,2,30,0,1.4706463594308061e-15,0,1.8029430559206153e-23
2019,4,9,9,0,0,2.7540832752033782e-18,0,6.250298678062043e-19
2019,4,9,9,30,0,4.885391334317519e-19,0,7.73945059489777e-17
2019,4,10,4,30,0,1.3046190827373844e-24,0,5.76483811495046e-26
2019,4,10,10,0,0,2.187860896477211e-21,0,1.3424886300082168e-27
2019,4,10,16,30,0,1.1525474054174451e-25,0,5.343772061728917e-30
2019,4,12,22,0,0,8.903541306114508e-26,0,1.312258960894831e-23
2019,4,13,7,30,0,2.4009455350582273e-24,0,8.398198487779669e-22
2019,4,13,22,30,0,2.43427642805891e-24,0,9.679356523630609e-19
2019,4,14,11,30,0,2.7198251328421586e-21,0,1.571088137462154e-25
2019,4,15,10,0,0,1.3046070822422403e-23,0,4.994619193106559e-27
2019,4,15,16,0,0,2.319422808067677e-24,0,1.77507616800058e-21
2019,4,16,14,0,0,5.8321264002562374e-24,0,2.6200485604823106e-16
2019,4,17,14,0,0,2.6345801140548987e-16,0,8.547315195762106e-15
2019,4,18,3,0,0,8.529788368814343e-16,0,3.760941848645032e-15
2019,4,19,13,30,0,1.1167846037572626e-15,0,1.899961247944472e-12
