Year,Month,Day,Hour,Minute,tem_in,hum_in,tem_coil,tem_out,hum_out,cond
2016,7,19,18,0,22.39,55.46,27.46,17.72,62.94,0
2016,7,19,21,0,17.81,62.64,27.08,11.37,76.95,0
2016,7,20,0,0,15.13,66.7,26.93,9.79,79.46,0
2016,7,20,3,0,13.82,68.53,26.47,8.35,81.56,0
2016,7,20,6,0,12.93,73.87,26.2,7.68,89.1,0
2016,7,20,9,0,15.31,71,26.89,24.47,55.74,0
2016,7,20,12,0,30.39,62.09,28.07,33.08,43.93,0
2016,7,20,15,0,32.22,52.29,28.91,33.08,51.68,0
2016,7,20,18,0,32.04,54.21,28.87,32.53,54.4,0
2016,7,20,21,0,30.24,59.8,28.45,28.16,67.7,0
2016,7,21,0,0,28.89,64.07,28.34,26.06,76.22,0
2016,7,21,3,0,28.04,63.86,27.77,24.99,77.78,0
2016,7,21,6,0,27.28,65.51,27.5,24.13,79.79,0
2016,7,21,9,0,27.52,63.58,27.54,27.46,64.16,0
2016,7,21,12,0,29.96,56.07,28.72,34.51,45.42,0
2016,7,21,15,0,32.19,52.35,29.67,32.95,51.92,0
2016,7,21,18,0,32.56,52.14,29.29,32.22,53.08,0
2016,7,21,21,0,30.79,60.44,28.99,28.68,70.6,0
2016,7,22,0,0,29.44,65.48,28.76,26.94,77.44,0
2016,7,22,3,0,28.65,64.68,28.45,26.06,77.63,0
2016,7,22,6,0,28.01,66.61,28.22,25.35,80.01,0
2016,7,22,9,0,28.71,64.56,28.57,33.81,48.99,0
2016,7,22,12,0,31.09,58.76,29.41,37.11,44.26,0
2016,7,22,15,0,32.56,54.21,30.02,34.39,51.25,0
2016,7,22,18,0,32.1,57.51,30.05,31.4,61.84,0
2016,7,22,21,0,30.36,63.8,29.79,28.22,73.35,0
2016,7,23,0,0,29.75,65.57,29.29,27.92,73.47,0
2016,7,23,3,0,29.23,68.01,29.44,27.25,77.72,0
2016,7,23,6,0,28.59,68.62,29.44,26.48,79.15,0
2016,7,23,9,0,29.63,63.43,29.37,35,46.46,0
2016,7,23,12,0,31.49,59.49,30.17,36.28,46.58,0
2016,7,23,15,0,32.31,57.97,30.47,33.87,55.49,0
2016,7,23,18,0,32.13,58.42,30.32,31.52,61.9,0
2016,7,23,21,0,30.94,62.7,29.44,28.44,74.05,0
2016,7,24,0,0,30.05,65.14,29.14,27.12,80.74,0
2016,7,24,3,0,29.29,67.16,28.72,26.7,81.2,0
2016,7,24,6,0,28.93,69.08,28.41,26.48,82.81,0
2016,7,24,9,0,29.78,67.77,28.91,31.37,65.08,0
2016,7,24,12,0,31.76,61.66,30.63,35.18,51.4,0
2016,7,24,15,0,32.68,58.03,30.67,33.17,58.79,0
2016,7,24,18,0,32.31,62.06,30.51,31.03,68.59,0
2016,7,24,21,0,31.03,66.58,29.64,28.28,81.04,0
2016,7,25,0,0,29.81,72.71,29.29,27.12,87.27,0
2016,7,25,3,0,29.29,73.32,28.76,26.94,87.18,0
2016,7,25,6,0,28.77,75.55,28.45,26.58,89.19,0
2016,7,25,9,0,29.63,71.79,28.83,30.48,71.18,0
2016,7,25,12,0,30.94,65.63,29.9,33.38,59,0
2016,7,25,15,0,31.7,64.74,30.47,32.77,62.61,0
2016,7,25,18,0,32.16,62.06,30.67,31.09,66.79,0
2016,7,25,21,0,31.06,64.77,30.13,27.67,80.25,0
2016,7,26,0,0,29.57,70.88,28.91,26.27,86.32,0
2016,7,26,3,0,28.68,70.09,28.45,25.17,89.99,0
2016,7,26,6,0,28.07,71.34,27.99,24.5,91.48,0
2016,7,26,9,0,28.8,70.36,28.91,31.86,62.58,0
2016,7,26,12,0,30.88,62.73,30.78,34.57,52.59,0
2016,7,26,15,0,32.16,58.55,31.2,32.83,56.41,0
2016,7,26,18,0,31.28,60.62,30.89,30.94,61.26,0
2016,7,26,21,0,30.27,65.6,30.63,28.07,75.92,0
2016,7,27,0,0,29.29,67.19,30.21,26.42,83.7,0
2016,7,27,3,0,28.56,70.09,29.98,25.81,85.5,0
2016,7,27,6,0,28.22,69.78,27.84,25.51,85.81,0
2016,7,27,9,0,28.96,72.62,28.8,28.71,76.8,0
2016,7,27,12,0,29.66,69.96,28.57,29.47,72.37,0
2016,7,27,15,0,30.02,70.79,28.76,30.76,69.44,0
2016,7,27,18,0,30.42,68.53,28.95,29.44,74.54,0
2016,7,27,21,0,29.23,73.11,28.45,27.46,82.84,0
2016,7,28,0,0,29.08,71.28,28.19,27.12,81.5,0
2016,7,28,3,0,28.56,74.48,27.84,26.24,89.38,0
2016,7,28,6,0,28.22,79.15,27.77,26.27,93.71,0
2016,7,28,9,0,29.35,74.54,28.3,32.31,63.64,0
2016,7,28,12,0,30.54,64.96,32.65,34.21,53.36,0
2016,7,28,15,0,31.28,59.89,32.61,31.06,60.1,0
2016,7,28,18,0,30.97,56.14,33.03,28.56,64.8,0
2016,7,28,21,0,29.81,62.42,32.12,26.51,77.81,0
2016,7,29,0,0,28.77,68.71,31.58,25.63,86.66,0
2016,7,29,3,0,28.16,69.26,31.16,25.08,87.24,0
2016,7,29,6,0,27.83,70.94,30.51,24.87,86.23,0
2016,7,29,9,0,27.86,73.84,28.19,24.99,94.44,0
2016,7,29,12,0,26.97,74.51,27.46,22.88,96.64,0
