Year,Month,Day,Hour,Minute,tem_in,hum_in,tem_coil,tem_out,hum_out,cond
2016,7,19,18,0,21.94,56.32,30.7,17.72,62.94,0
2016,7,19,21,0,17.75,61.78,28.61,11.37,76.95,0
2016,7,20,0,0,15.89,64.87,27.27,9.79,79.46,0
2016,7,20,3,0,14.64,67.06,26.93,8.35,81.56,0
2016,7,20,6,0,13.69,71.83,26.47,7.68,89.1,0
2016,7,20,9,0,15.89,69.72,28.11,24.47,55.74,0
2016,7,20,12,0,30.48,61.54,31.01,33.08,43.93,0
2016,7,20,15,0,32.74,51.83,32.73,33.08,51.68,0
2016,7,20,18,0,31.98,53.75,31.7,32.53,54.4,0
2016,7,20,21,0,30.36,58.91,30.21,28.16,67.7,0
2016,7,21,0,0,29.17,63.13,29.06,26.06,76.22,0
2016,7,21,3,0,28.38,62.76,28.15,24.99,77.78,0
2016,7,21,6,0,27.7,64.13,27.46,24.13,79.79,0
2016,7,21,9,0,28.22,61.45,28.3,27.46,64.16,0
2016,7,21,12,0,30.7,54.52,30.86,34.51,45.42,0
2016,7,21,15,0,32.53,51.8,32.88,32.95,51.92,0
2016,7,21,18,0,32.95,51.34,30.86,32.22,53.08,0
2016,7,21,21,0,30.88,60.47,30.74,28.68,70.6,0
2016,7,22,0,0,29.69,64.71,30.44,26.94,77.44,0
2016,7,22,3,0,29.05,64.07,30.17,26.06,77.63,0
2016,7,22,6,0,28.25,65.93,29.86,25.35,80.01,0
2016,7,22,9,0,29.75,61.51,29.98,33.81,48.99,0
2016,7,22,12,0,31.86,57.36,30.82,37.11,44.26,0
2016,7,22,15,0,32.77,54.61,31.66,34.39,51.25,0
2016,7,22,18,0,32.59,56.2,31.58,31.4,61.84,0
2016,7,22,21,0,30.76,62.48,31.5,28.22,73.35,0
2016,7,23,0,0,30.21,64.74,30.97,27.92,73.47,0
2016,7,23,3,0,29.69,67.25,31.28,27.25,77.72,0
2016,7,23,6,0,29.11,67.58,30.93,26.48,79.15,0
2016,7,23,9,0,30.18,62,30.78,35,46.46,0
2016,7,23,12,0,32.1,57.94,31.58,36.28,46.58,0
2016,7,23,15,0,32.89,56.59,31.92,33.87,55.49,0
2016,7,23,18,0,32.68,57.08,31.73,31.52,61.9,0
2016,7,23,21,0,31.15,62.67,31.43,28.44,74.05,0
2016,7,24,0,0,30.39,65.11,31.58,27.12,80.74,0
2016,7,24,3,0,29.75,66.82,31.28,26.7,81.2,0
2016,7,24,6,0,29.41,68.83,31.24,26.48,82.81,0
2016,7,24,9,0,30.21,67.49,31.2,31.37,65.08,0
2016,7,24,12,0,31.86,62.03,31.92,35.18,51.4,0
2016,7,24,15,0,32.99,57.81,31.89,33.17,58.79,0
2016,7,24,18,0,32.37,62.39,32.04,31.03,68.59,0
2016,7,24,21,0,31.09,67.4,31.62,28.28,81.04,0
2016,7,25,0,0,30.18,72.04,31.43,27.12,87.27,0
2016,7,25,3,0,29.78,73.23,31.35,26.94,87.18,0
2016,7,25,6,0,29.44,74.18,31.2,26.58,89.19,0
2016,7,25,9,0,30.02,71.46,31.09,30.48,71.18,0
2016,7,25,12,0,31.7,63.37,31.77,33.38,59,0
2016,7,25,15,0,32.47,62.97,31.89,32.77,62.61,0
2016,7,25,18,0,32.56,61.2,32,31.09,66.79,0
2016,7,25,21,0,31.09,65.05,31.77,27.67,80.25,0
2016,7,26,0,0,29.87,70.24,31.39,26.27,86.32,0
2016,7,26,3,0,28.86,71.34,30.97,25.17,89.99,0
2016,7,26,6,0,28.28,72.62,30.74,24.5,91.48,0
2016,7,26,9,0,29.35,69.47,31.09,31.86,62.58,0
2016,7,26,12,0,31.31,61.81,31.62,34.57,52.59,0
2016,7,26,15,0,32.44,58.33,31.89,32.83,56.41,0
2016,7,26,18,0,31.76,59.58,31.73,30.94,61.26,0
2016,7,26,21,0,30.6,65.08,31.43,28.07,75.92,0
2016,7,27,0,0,29.87,65.2,31.35,26.42,83.7,0
2016,7,27,3,0,29.11,70.36,30.89,25.81,85.5,0
2016,7,27,6,0,28.8,70.12,30.97,25.51,85.81,0
2016,7,27,9,0,29.75,70.18,31.12,28.71,76.8,0
2016,7,27,12,0,30.45,67.52,31.43,29.47,72.37,0
2016,7,27,15,0,30.57,68.74,31.24,30.76,69.44,0
2016,7,27,18,0,31.03,66.39,31.39,29.44,74.54,0
2016,7,27,21,0,29.87,70.21,31.05,27.46,82.84,0
2016,7,28,0,0,29.69,69.51,31.05,27.12,81.5,0
2016,7,28,3,0,29.17,72.86,30.47,26.24,89.38,0
2016,7,28,6,0,28.93,78.3,30.67,26.27,93.71,0
2016,7,28,9,0,29.69,72.92,30.82,32.31,63.64,0
2016,7,28,12,0,31.21,63.68,31.28,34.21,53.36,0
2016,7,28,15,0,32.01,57.88,31.62,31.06,60.1,0
2016,7,28,18,0,31.58,54.4,31.73,28.56,64.8,0
2016,7,28,21,0,30.24,60.13,31.28,26.51,77.81,0
2016,7,29,0,0,29.35,67.58,30.89,25.63,86.66,0
2016,7,29,3,0,28.83,68.96,30.78,25.08,87.24,0
2016,7,29,6,0,28.56,70.02,30.47,24.87,86.23,0
2016,7,29,9,0,27.95,76.13,30.28,24.99,94.44,0
2016,7,29,12,0,27.31,73.87,29.71,22.88,96.64,0
2016,7,29,15,0,28.53,75.27,30.21,26.94,86.72,0
2016,7,29,18,0,30.09,75.34,30.44,28.99,82.63,0
2016,7,29,21,0,29.75,77.72,30.44,27.74,88.86,0
2016,7,30,0,0,29.41,77.08,30.63,27.16,90.08,0
2016,7,30,3,0,29.14,77.53,30.25,27.12,89.32,0
2016,7,30,6,0,28.77,78.14,30.17,26.67,91.42,0
2016,7,30,9,0,29.69,76.89,30.32,29.44,81.29,0
2016,7,30,12,0,31.18,65.05,30.7,35.12,54.27,0
2016,7,30,15,0,32.8,58.18,31.47,33.63,58.24,0
2016,7,30,18,0,32.71,55.46,31.39,30.21,63.46,0
2016,7,30,21,0,30.6,70.24,31.2,27.37,86.36,0
2016,7,31,0,0,29.57,74.39,30.63,26.15,92.61,0
2016,7,31,3,0,29.08,76.68,30.51,26,92.09,0
2016,7,31,6,0,28.74,78.02,30.51,25.51,95.63,0
2016,7,31,9,0,29.75,75.82,30.97,34.27,61.57,0
2016,7,31,12,0,32.31,62.12,31.31,35.09,54.03,0
2016,7,31,15,0,33.57,58.94,32.12,32.19,64.32,0
2016,7,31,18,0,32.89,62.48,31.77,29.75,74.36,0
2016,7,31,21,0,30.88,68.25,31.5,27.12,87.21,0
2016,8,1,0,0,29.96,72.28,31.16,26.03,91.54,0
2016,8,1,12,0,30.6,67.09,31.24,32.1,58.82,0
2016,8,1,15,0,32.19,55.83,31.54,32.16,61.29,0
2016,8,1,18,0,31.52,59.46,31.54,29.69,67.67,0
2016,8,1,21,0,29.96,67.55,31.12,26.76,84.22,0
2016,8,2,0,0,29.23,73.38,30.86,26.39,88.64,0
2016,8,2,3,0,28.89,74.85,30.67,25.81,91.21,0
2016,8,2,6,0,28.35,77.59,30.74,25.32,94.23,0
2016,8,2,9,0,28.89,75.89,30.63,26.88,87.52,0
2016,8,2,12,0,29.75,72.31,30.21,29.02,76.92,0
2016,8,2,15,0,30.63,67.67,30.93,30.7,68.86,0
2016,8,2,18,0,30.33,67.28,30.82,27.86,77.59,0
2016,8,2,21,0,29.51,66.94,30.67,26.18,85.96,0
2016,8,3,0,0,28.89,68.28,30.47,25.51,83.97,0
2016,8,3,3,0,28.25,64.71,30.32,24.56,83.18,0
2016,8,3,6,0,28.07,66.73,29.9,24.65,83.24,0
2016,8,3,9,0,29.38,63.71,30.36,34.88,46.58,0
2016,8,3,12,0,31.64,55.04,31.16,36.47,42.49,0
2016,8,3,15,0,33.75,47.01,32,34.54,44.66,0
2016,8,3,18,0,32.71,51.62,31.92,30.27,58.49,0
2016,8,3,21,0,30.76,59.16,31.2,27.46,72.62,0
