Year,Month,Day,Hour,Minute,tem_in,hum_in,tem_coil,tem_out,hum_out
2019,4,1,13,30,11.28,22.65,8.76,12.01,19.84
2019,4,1,20,30,10.06,30.59,8.92,5.15,42.28
2019,4,3,7,0,7.25,51.16,6.89,4.78,62.64
2019,4,3,8,30,8.38,50.15,7.47,14.98,35.41
2019,4,3,10,0,9.79,48.72,7.96,19.04,26.37
2019,4,3,19,30,11.07,31.93,9.11,7.37,42.16
2019,4,4,4,30,8.2,52.32,7.43,2.8,82.6
2019,4,5,0,0,10.09,52.35,9.45,7.86,65.14
2019,4,5,4,30,10.12,71.34,9.11,8.69,86.66
2019,4,6,21,0,13.3,30.46,11.09,12.5,33.42
2019,4,7,3,0,12.35,43.8,11.01,11.43,50.31
2019,4,7,7,30,11.59,60.53,11.32,11.8,60.5
2019,4,8,8,0,10.85,46.52,11.13,14.33,39.62
2019,4,8,23,0,11.43,39.77,11.82,7.8,51.77
2019,4,9,2,0,10.79,39.53,11.66,7.31,50.55
2019,4,10,13,0,11.56,61.32,11.97,8.63,81.01
2019,4,11,15,30,14.85,50.58,11.7,13.54,57.57
2019,4,12,3,0,9.73,58.21,10.79,5.39,84.28
2019,4,13,19,0,15.13,38.8,12.54,12.75,43.47
2019,4,15,0,30,11.07,32.78,12.01,7.65,43.56
2019,4,16,5,0,10.34,44.9,11.59,5.45,64.93
2019,4,16,6,30,10.03,43.38,11.78,6.37,57.36
2019,4,16,11,0,14.88,28.85,12.46,24.56,13.31
2019,4,17,0,0,13.57,32.3,13.23,10.73,43.65
2019,4,17,7,0,12.05,38.83,12.81,11.95,41.03
2019,4,18,11,30,15.68,59.8,14.56,17.69,56.68
2019,4,18,14,0,15.89,61.48,14.53,16.72,62.48
2019,4,18,22,0,14.52,72.56,14.18,11.71,99.24
2019,4,19,1,30,13.72,76.86,14.26,11.37,99.24
2019,4,20,10,30,16.59,61.23,15.02,20.1,51.01
2019,4,20,11,30,17.36,58.09,15.48,21.39,46.43
2019,4,21,2,30,15.07,73.78,15.33,12.69,97.95
2019,4,21,20,30,16.44,65.45,15.63,12.81,90.32
2019,4,22,0,0,15.04,68.77,15.4,11.5,94.99
2019,4,23,2,30,16.53,62.09,16.28,14.43,77.87
2019,4,24,10,0,18.18,81.87,17.08,21.87,75.79
2019,4,24,16,0,20.81,64.38,17.88,21.14,69.2
2019,4,25,0,30,17.54,68.41,17.65,14.67,93.71
2019,4,25,1,30,17.33,70.05,18.11,14.4,94.69
2019,4,25,19,0,16.38,66.67,17.43,13.45,90.08
2019,4,26,9,30,13.6,61.57,15.36,9.97,85.47
2019,4,26,14,0,14.12,61.36,15.29,11.07,79.24
2019,4,26,15,30,14.18,64.38,15.29,10.21,93.35
2019,4,27,3,30,12.9,52.66,15.02,9.08,68.41
2019,4,27,7,0,11.89,57.42,13.53,7.62,85.59
2019,4,27,12,0,15.59,41.36,14.3,21.2,29.91
2019,4,27,18,0,16.35,38.74,14.87,13.88,42.7
2019,4,27,23,0,14.73,50.98,14.68,11.25,66.76
2019,4,28,8,30,13.51,54.55,14.14,11.4,65.9
2019,4,28,14,30,17.36,40.84,14.83,18.55,38.25
2019,4,28,15,0,17.66,40.2,15.06,18.61,38.52
2019,4,29,15,30,15.46,58.27,15.33,15.16,70.39
2019,5,1,12,30,16.68,60.68,15.21,21.66,44.02
2019,5,1,20,30,16.35,48.96,15.9,13.63,57.91
2019,5,3,0,30,15.95,36.02,16.2,12.08,46.4
2019,5,3,5,0,14.46,42.22,15.86,10,58.85
2019,5,3,12,30,19.43,38.71,16.55,27.28,24.24
2019,5,3,13,30,19.37,40.93,16.66,22.52,37
2019,5,4,8,30,15.95,57.6,16.39,23.31,38.19
2019,5,4,10,30,17.81,50.89,16.89,27.34,26.43
2019,5,5,5,30,15.8,54.79,16.7,11.74,73.93
2019,5,5,8,0,15.92,60.29,16.66,19.62,48.17
2019,5,5,11,0,19.16,39.53,17.5,31.76,15.6
2019,5,5,12,0,20.29,27.96,17.77,29.23,13.8
2019,5,6,9,0,15.92,26.4,17.65,23.06,16.33
2019,5,6,16,30,18.73,24.45,18.04,16.47,27.11
