Year,Month,Day,Hour,Minute,tem_in,hum_in,tem_coil,tem_out,hum_out
2019,4,1,0,0,8.17,40.42,10.1,4.2,54.82
2019,4,1,10,30,9.45,40.93,9.07,12.26,32.14
2019,4,1,18,30,11.62,25.55,9.45,7.99,31.81
2019,4,3,3,0,8.08,44.11,8.61,2.98,67.52
2019,4,4,14,30,13.94,34.95,10.63,16.68,23.53
2019,4,4,18,0,14.24,29.3,11.28,12.2,37.15
2019,4,5,13,0,14.73,41.79,11.4,16.78,31.59
2019,4,5,18,0,15.62,22.74,12.24,12.2,29.46
2019,4,6,2,0,10.64,37.39,12.08,6.31,48.57
2019,4,6,12,0,13.57,32.2,11.97,17.48,22.22
2019,4,7,13,30,15.98,32.91,13.57,17.72,25.03
2019,4,7,17,30,16.01,29.4,13.38,13.75,30.07
2019,4,8,2,0,12.23,42.7,13.46,9.76,54.52
2019,4,8,11,0,14.37,30.74,13.19,17.05,20.02
2019,4,8,17,30,16.47,21.31,14.3,13.6,24.73
2019,4,8,20,30,14.43,29.85,14.3,9.36,42.7
2019,4,9,1,0,12.35,35.35,13.3,6.95,50.82
2019,4,9,4,30,12.05,38.4,13.53,6.98,61.54
2019,4,10,6,30,11.01,63,13.5,6.25,92.4
2019,4,10,13,0,11.68,61.78,14.07,8.63,81.01
2019,4,10,18,0,12.72,59.19,13.88,8.96,83.73
2019,4,11,8,30,11.01,62,12.46,10.03,76.68
2019,4,13,5,0,11.22,45.67,13.65,5.57,69.38
2019,4,14,20,0,13.27,46.92,14.45,8.75,61.39
2019,4,15,0,30,12.32,31.35,14.11,7.65,43.56
2019,4,15,13,0,16.47,33.76,14.3,19.28,30.62
2019,4,16,14,30,19.07,20.51,15.1,22.79,13.1
2019,4,17,8,30,14.73,32.6,14.72,24.56,17.86
2019,4,17,15,0,19.86,40.45,15.82,19.28,42.03
2019,4,18,23,0,15.74,67.49,15.63,11.95,99.24
2019,4,20,3,0,16.17,53.88,16.24,12.59,71.25
2019,4,20,11,30,18.42,54.58,17.39,21.39,46.43
2019,4,20,18,0,18.42,57.45,17.01,15.53,70.94
2019,4,22,1,0,15.59,66.67,16.74,11.1,97.86
2019,4,23,3,0,17.75,57.17,17.88,14,78.54
2019,4,23,9,0,18.42,59.43,17.84,21.54,53.48
2019,4,24,1,30,18.42,70.73,18.8,15.89,99.24
2019,4,24,6,0,18.24,75.46,18.3,15.43,99.3
2019,4,25,8,30,18.21,67.43,19.07,16.68,85.59
2019,4,25,21,30,16.11,62.97,18.3,10.43,96.55
2019,4,26,9,0,14.52,57.88,17.58,9.6,86.51
2019,4,27,22,30,14.95,50.98,15.63,11.37,68.13
2019,4,28,0,30,14.82,53.17,16.43,10.92,72.1
2019,4,28,8,30,14.4,51.86,15.44,11.4,65.9
2019,4,28,9,30,14.85,48.9,16.2,12.63,56.59
2019,4,28,23,30,15.62,52.47,16.17,9.57,80.83
2019,4,29,12,30,17.26,48.84,16.97,17.48,48.44
2019,4,29,13,0,17.42,48.53,16.39,17.51,46.98
2019,4,30,5,0,13.66,67.52,15.52,9.11,99.3
2019,4,30,22,0,17.05,45.76,17.27,12.78,61.54
2019,5,1,12,0,18.27,55.4,17.43,22.12,44.84
2019,5,2,12,0,19.13,35.71,17.27,25.6,21.25
2019,5,3,10,0,17.88,38.8,18.11,26.73,20.09
2019,5,4,3,30,16.41,54.33,18.19,12.44,72.53
