Year,Month,Day,Hour,Minute,WeatherTest_45min3,WeatherTest_45min4,WeatherTest_45min5,WeatherTest_45min6,WeatherTest_45min7,WeatherTest_45min8,WeatherTest_45min9,WeatherTest_45min10,WeatherTest_45min11,WeatherTest_45min12,WeatherTest_45min13,WeatherTest_45min14,WeatherTest_45min15,WeatherTest_45min16,WeatherTest_45min17,WeatherTest_45min18
2019,4,3,11,0,351.6,3.9,1022,1025.2,26.6,4.58,11820,9.7,0,357.3,4.2,1021.3,1024.5,22.3,8.26,16860
2019,4,4,7,0,234.7,0.7,1020.9,1024.2,86.2,0.01,0,0.3,0,262.6,0.3,1021.3,1024.6,72.4,0.61,3120
2019,4,4,9,30,329.1,1.9,1021.7,1024.9,62.4,1.94,6720,9.3,0,354.4,2.7,1021.7,1024.9,37.1,5.07,12120
2019,4,4,15,0,351.7,4.5,1020.3,1023.5,22.7,17.81,26520,11.4,0,344,2.1,1019.4,1022.5,19.6,21.77,31920
2019,4,4,16,30,344,2.1,1019.4,1022.5,19.6,21.77,31920,10.9,0,342,4.2,1019.2,1022.4,18.6,24.16,37320
2019,4,4,19,30,336,3.7,1019.8,1023,23.2,24.83,41880,6,0,327.2,1.9,1020.8,1024,27.1,24.83,41880
2019,4,5,1,0,26.2,0.1,1021.8,1025.1,71.9,0,0,-0.3,0,26.6,1.2,1021.5,1024.8,77.5,0,0
2019,4,5,4,30,33.3,2.1,1021.4,1024.7,85.1,0,0,-1.7,0,332.8,0.9,1021.5,1024.8,87.9,0.01,0
2019,4,5,9,0,312.7,0.3,1021.9,1025.1,74.6,1,4920,8.5,0,223,2.7,1022.5,1025.7,58.2,3.71,10320
2019,4,6,6,0,283.5,0.2,1018.8,1022.1,97,0.01,0,0,0,0,0,1019.2,1022.5,97.2,0.03,0
2019,4,6,22,0,186.8,3.2,1012.3,1015.5,94.4,24.57,40860,6.6,0,342.9,4,1011.4,1014.6,91.9,24.58,40860
2019,4,6,23,0,195.1,4.2,1011.6,1014.8,94.7,24.57,40860,6.5,0,351.6,3.6,1011.5,1014.7,86.6,24.58,40860
2019,4,7,0,30,351.6,3.6,1011.5,1014.7,86.6,24.58,40860,6.7,0,261.2,4.1,1010.3,1013.5,86.9,0,0
2019,4,7,18,0,330.1,5.3,1007.1,1010.2,21,20.45,27060,10.2,0,350.6,0.7,1007.8,1010.9,29.3,21.2,30480
2019,4,8,0,30,36.6,0.6,1010.8,1014,54.1,21.2,30480,2.6,0,0,0,1011.1,1014.3,61,0,0
