Year,Month,Day,Hour,Minute,TempOut2,Precipitation2,WindDirection2,WindSpeed2,LocalPressure2,SurfacePressure2,HumOut2,Radiation2,Sunlight2
2019,4,3,11,0,9.8,0,209.6,4.4,1023.9,1025.1,52.3,NaN,15300
2019,4,4,7,0,2.4,0,279.9,0,1020.4,1021.7,91.8,NaN,960
2019,4,4,9,30,9.3,0,172.2,3.6,1020.1,1021.3,63.7,NaN,9960
2019,4,4,15,0,11.9,0,204.9,4.6,1015.9,1017.1,49.2,NaN,29760
2019,4,4,16,30,10.6,0,199.5,4.1,1015,1016.2,65.4,NaN,35160
2019,4,4,19,30,7.9,0,188.9,3.7,1013.6,1014.8,79.7,NaN,38820
2019,4,5,1,0,7.6,0,182.3,4.5,1012.8,1014,67,NaN,0
2019,4,5,4,30,8.1,0,183.2,4.6,1010.1,1011.3,80.6,NaN,0
2019,4,5,9,0,9.6,0,197.3,3.7,1009.3,1010.5,89.1,NaN,0
2019,4,6,6,0,2.1,0,2,0.1,1011.4,1012.6,63.2,NaN,0
2019,4,6,22,0,10.5,0,110.4,0.1,1008.7,1009.9,53.7,NaN,14100
2019,4,6,23,0,10.5,0,90.2,0,1008.7,1009.9,55.9,NaN,14100
2019,4,7,0,30,9.6,0,60.8,0.8,1008.7,1009.9,79.3,NaN,0
2019,4,7,18,0,14.8,0,311.5,0.8,1006.1,1007.3,38.1,NaN,12660
2019,4,8,0,30,8,0,25.5,0.5,1010.4,1011.6,42.4,NaN,0
2019,4,8,17,0,13.2,0,288.7,1.6,1014,1015.2,33.1,NaN,36480
2019,4,9,12,0,15.8,0,52.8,2.7,1013.3,1014.5,30,NaN,7200
2019,4,10,1,30,7.6,2.8,79.2,4.7,1005.5,1006.7,79.6,NaN,0
2019,4,11,2,30,3.7,0,39.7,1.2,1013.3,1014.5,94.4,NaN,0
2019,4,11,9,0,8.4,0,199.4,1.4,1014.3,1015.5,80.6,NaN,2040
2019,4,11,9,30,8.4,0,220.1,1.5,1014.5,1015.7,77.7,NaN,2040
2019,4,12,4,30,3.6,0,10.6,0.3,1015.3,1016.5,87.4,NaN,0
2019,4,12,10,0,11.9,0,216.7,2.5,1017.7,1018.9,67.9,NaN,9960
2019,4,12,16,30,13.1,0,258.3,1,1017.6,1018.8,48.6,NaN,33300
2019,4,14,22,0,6.2,2.1,100.5,0.3,1016.6,1017.8,86.9,NaN,10560
2019,4,15,7,30,4.6,0,166.3,0,1018.1,1019.3,82.5,NaN,3840
2019,4,15,22,30,7.3,0,1.6,0.3,1018.5,1019.7,55.1,NaN,40200
2019,4,16,11,30,18.5,0,201.2,3.4,1016.2,1017.4,26.1,NaN,18060
2019,4,17,10,0,16.6,0,207.5,3,1013,1014.2,39.8,NaN,11160
