Year,Month,Day,Hour,Minute,TempOut,Precipitation,WindDirection,WindSpeed,LocalPressure,SurfacePressure,HumOut,Radiation,Sunlight
2019,4,3,0,0,2,0,24.3,0.6,1021.9,1025.2,68.4,24.83,41880
2019,4,3,10,30,9.9,0,275.3,2.1,1022.6,1025.8,54.8,5.65,13020
2019,4,3,18,30,9,0,344.4,2.4,1019.6,1022.8,29.7,22.87,39960
2019,4,5,3,0,7.4,0,320.2,4.9,1008.8,1012,88.9,0,0
2019,4,6,14,30,14.6,0,3.3,3.6,1008.3,1011.4,38.4,9.95,14460
2019,4,6,18,0,13.4,0,352.4,1.5,1006.4,1009.5,34.7,11.44,14460
2019,4,7,13,0,17.7,0,338.6,3.6,1007.2,1010.2,24.9,12.9,16740
2019,4,7,18,0,13.8,0,15.1,2.2,1005.8,1008.9,24.8,19.45,21540
2019,4,8,2,0,6.1,0,18.5,1.3,1009.3,1012.5,52,0,0
2019,4,8,12,0,15.5,0,351.3,3.6,1013.2,1016.3,20.5,10.21,18840
2019,4,9,13,30,14.6,0,70.7,3,1011,1014.1,21.4,4.57,1260
2019,4,9,17,30,10.4,0.5,43.3,1.8,1008.7,1011.8,62.2,5.79,1260
2019,4,10,2,0,5.1,1.4,33.4,2.7,1006.4,1009.6,96.6,0,0
2019,4,10,11,0,7.7,1.4,354.9,2.6,1010.1,1013.3,78.4,1.62,0
2019,4,10,17,30,9.3,1.4,8,2.2,1009.5,1012.6,69.6,6.21,480
2019,4,10,20,30,6.3,1.4,344.2,2.3,1011.8,1015,85.4,6.9,5520
2019,4,11,1,0,2.2,0,6.3,0.4,1012.8,1016,97.2,0,0
2019,4,11,4,30,0.7,0,0,0,1012.6,1015.9,97.2,0,0
2019,4,12,6,30,3.7,0,24,1,1015,1018.2,97.2,0.02,0
2019,4,12,13,0,16.9,0,342.9,3.6,1016,1019.1,22.2,13.85,19920
2019,4,12,18,0,13.9,0,331.2,3.6,1016.6,1019.7,32.1,25.28,37920
2019,4,13,8,30,7.7,0,319.3,0.5,1018.6,1021.8,73.3,1.3,5220
2019,4,15,5,0,-0.1,0,0,0,1015.7,1019,96.4,0,0
2019,4,16,20,0,13.4,0,22,1.5,1012.5,1015.6,39.1,22.01,34860
2019,4,17,0,30,7.8,0,85.3,0.1,1012.9,1016.1,65.8,0,0
2019,4,17,13,0,20.2,0,328.8,1.5,1010.1,1013.1,24.2,14.63,23100
2019,4,18,14,30,15.5,0,351.4,5.2,1009.3,1012.4,68.5,6.96,5820
2019,4,19,8,30,12.6,0,8.2,1.3,1013.8,1016.9,87.2,1.11,480
2019,4,19,15,0,18.5,0,354.3,2.2,1012.5,1015.5,56.5,12.4,11460
2019,4,20,23,0,15,0,351.9,0.8,1011.5,1014.6,76.3,17.7,22620
2019,4,22,3,0,9.6,0,29,0.9,1012.3,1015.4,97.2,0.01,0
2019,4,22,11,30,23.2,0,39.5,3.5,1012.6,1015.6,39.5,9.6,17160
2019,4,22,18,0,23.8,0,260.2,0.9,1010.7,1013.7,43.2,25.79,40560
2019,4,24,1,0,15.2,1.2,35.6,1.5,1006.8,1009.9,97.7,0,0
2019,4,25,3,0,12,0,151.4,0.8,1003.3,1006.4,97.7,0.01,0
2019,4,25,9,0,14.4,0,195.4,0.6,1004,1007.1,90,1.14,0
2019,4,26,1,30,7.4,0,212.1,1.7,1005.9,1009.1,93.5,0,0
2019,4,26,6,0,7.7,0,152.2,2,1006.1,1009.2,97.7,0.02,0
2019,4,27,8,30,9.8,0,348.4,0.9,1020.7,1023.9,71.8,2.74,7560
2019,4,27,21,30,10.5,0,37.1,0.9,1017.9,1021.1,59.5,30.32,33060
2019,4,28,9,0,10.2,0.2,315.9,1.4,1019.9,1023.1,78,0.71,0
2019,4,29,22,30,10.4,0,35.8,1,1008.7,1011.8,90.6,10.74,5340
2019,4,30,0,30,10.1,0,44.8,1.2,1007.8,1010.9,91.3,0,0
2019,4,30,8,30,14,0,40.9,1.9,1007.2,1010.3,71.1,2.16,3420
2019,4,30,9,30,16.6,0,38.6,3.5,1006.3,1009.3,63,4.67,7020
2019,4,30,23,30,10.3,0,62.7,0.4,1006,1009.1,79.7,25.02,38040
2019,5,1,12,30,18.6,0,289.3,0.7,1005.3,1008.3,51.7,5.9,17520
2019,5,1,13,0,19.4,0,349.9,2.5,1005,1008,50.2,6.76,19320
2019,5,2,5,0,5.9,0,21.2,0.6,1007.9,1011.1,97.5,0,0
2019,5,2,22,0,10.6,0,200.6,0.7,1011.8,1014.9,66.4,14.49,46200
2019,5,3,12,0,22.5,0,210.1,2.2,1014.9,1017.9,38.8,6.87,20580
2019,5,4,12,0,23.1,0,220.7,2.3,1016.3,1019.3,41.8,13.1,18060
2019,5,5,10,0,22.8,0,138.6,0.5,1015,1018,30.2,6.76,11100
2019,5,6,3,30,11.1,0,351.1,3.4,1014.5,1017.6,42.6,0,0
2019,5,7,1,30,5.2,0,131.3,0.3,1015,1018.2,76.2,0,0
2019,5,7,2,30,5,0,0,0,1014.7,1017.9,81.8,0,0
2019,5,7,21,30,11.5,0,171.7,2.6,1013.1,1016.2,61.9,37.99,46320
2019,5,8,10,30,17.9,0,207.8,4,1011.9,1014.9,48.1,8.63,15120
2019,5,9,4,30,10,0,0,0,1008.5,1011.6,91.5,0,0
2019,5,10,0,0,8.8,0,54.6,0.2,1010.2,1013.3,88.7,27.19,45480
2019,5,10,23,30,11.4,0,270.1,0.6,1012,1015.1,79.5,26.51,42600
2019,5,12,0,0,12.2,0,76.3,1.9,1012.1,1015.2,44.4,28.21,46920
2019,5,12,2,30,10.5,0,91.9,2,1012.4,1015.5,67.2,0,0
2019,5,12,7,0,13.4,0,5.1,0.4,1012.6,1015.7,51.8,0.37,840
2019,5,12,12,30,24.1,0,209.9,0.7,1012.6,1015.6,23.4,11.76,16560
2019,5,12,13,0,25.1,0,233.2,1.2,1012.2,1015.2,22.6,13.29,18360
2019,5,12,17,30,24.7,0,331.7,2,1010.9,1013.8,21.2,24.17,34560
2019,5,13,6,30,12.9,0,90.4,1.4,1012.4,1015.5,79.8,0.17,840
2019,5,16,12,30,28,0,290.6,1.8,1009.1,1012,31.5,13.56,18660
2019,5,17,1,0,17.1,0,144.1,0.1,1010.8,1013.8,77.6,0,0
2019,5,17,13,30,25.6,0,36.2,1.7,1008.7,1011.7,43.6,9.74,9600
2019,5,17,15,30,25.3,0,311.4,1.4,1008.2,1011.2,49.3,11.41,9600
2019,5,19,0,0,19.4,6.2,71.9,3.6,1008.4,1011.4,75.8,13.43,5520
2019,5,19,2,0,19,0,73.8,2.5,1007.7,1010.7,79.4,0,0
2019,5,19,3,30,18.8,0,68.5,1.6,1007.2,1010.2,80.6,0,0
2019,5,19,5,0,19,0,84.4,2.7,1006.7,1009.7,78.8,0.01,0
2019,5,21,14,0,23.9,0,226.9,5.6,1003.1,1006,30.2,20.32,28680
2019,5,21,16,30,22.2,0,233.3,6,1002.2,1005.2,36.9,27.32,37680
2019,5,22,2,30,11.8,0,216.6,0.8,1003.8,1006.9,96.5,0,0
2019,5,22,10,30,20.3,0,180.9,4.9,1003.9,1006.9,57.5,7.89,16140
2019,5,25,1,0,16.7,0,198.9,2.1,1010,1013.1,92.2,0,0
2019,5,25,8,0,21.1,0,208.8,1.9,1012.5,1015.5,52,1.37,2940
2019,5,25,9,30,23.1,0,185.3,3.9,1013.1,1016.1,39.2,3.13,4620
2019,5,25,17,0,24.4,0,191.4,3.1,1012.3,1015.3,58.1,20.9,28320
2019,5,27,7,30,18.7,7.1,145,1.7,1000.5,1003.5,95.1,0.1,0
2019,5,30,13,30,21.4,0,195.6,4.7,1008.3,1011.2,53.4,11.26,13800
2019,5,30,19,0,18.7,0,177.5,2.9,1008.4,1011.3,63.7,15.4,15240
2019,5,30,19,30,18.6,0,197.2,1.7,1008.6,1011.5,63.4,15.4,15240
2019,5,30,21,0,18.4,0,178.7,1.6,1009.9,1012.9,60.9,15.4,15240
2019,5,30,21,30,17.3,0.1,211.2,3.1,1010.4,1013.4,67.4,15.4,15240
2019,5,31,8,0,18.2,0,227.2,1.6,1008.7,1011.7,64.3,1.67,5340
2019,5,31,21,30,15.9,0,200,2.4,1008.3,1011.3,78,29.85,46500
2019,6,1,0,30,12.8,0,0,0,1009.2,1012.2,96.2,NaN,NaN
2019,6,1,1,30,13.3,0,181.4,1.3,1009,1012,97.5,0,0
2019,6,2,8,0,17,0,279.2,0.7,1005.7,1008.7,69.3,1.75,7200
2019,6,2,17,0,25,0,235.2,3.2,1003.4,1006.3,28.9,25.01,37740
2019,6,3,0,30,15.1,0,0,0,1005.1,1008.1,83.5,0,0
2019,6,3,12,30,26.2,0,314.6,5.7,1007.1,1010,49.1,13.89,22560
2019,6,3,17,0,27.8,0,202.7,2.4,1002.7,1005.5,42.6,26.23,38760
2019,6,4,1,30,16.4,0,83.6,0.9,1006.7,1009.7,84,0,0
2019,6,4,11,30,26.3,0,234.4,3.7,1006.8,1009.7,48.2,10.42,18840
2019,6,5,8,0,18.5,0,0,0,1009.4,1012.3,88.5,0.61,0
2019,6,5,11,30,22.8,0,202.4,2.4,1010.5,1013.4,66.8,5.54,2280
2019,6,5,20,0,21.2,0,235.5,1.8,1009.1,1012,83.5,22.1,25860
2019,6,6,1,0,16.9,0,25,1.9,1009.9,1012.9,97.5,0,0
2019,6,6,13,0,24.8,0,322.5,1.3,1007.5,1010.4,53.9,5.7,0
2019,6,6,20,0,19.3,6.6,9.4,1.6,1003.8,1006.7,93.9,7.48,0
2019,6,6,21,0,18.8,10.1,43.6,4.7,1002.8,1005.7,95.8,7.48,0
2019,6,7,13,30,20,25.3,24.9,3.7,999,1001.9,91.2,3.85,0
2019,6,7,17,0,23.2,25.3,26.1,2.6,1000.4,1003.3,65.7,7.33,540
2019,6,8,13,0,24.8,0,235.7,2.4,1005.7,1008.6,59.3,13.44,24180
2019,6,9,1,30,18.1,0,178.5,1.1,1004.6,1007.5,93.7,0,0
2019,6,10,12,0,19.7,13.2,289.3,0.9,1004.2,1007.1,71.7,4.21,0
2019,6,10,19,0,18.8,13.2,318.4,2.3,1003.7,1006.6,77.4,12.58,660
2019,6,12,22,0,17.8,0,47.2,0.8,1008.3,1011.3,70.2,28.97,48360
2019,6,14,11,0,23.7,0,26.2,2.8,1004.4,1007.3,47.3,4.36,2160
2019,6,15,13,0,23,0,306.6,5.6,998,1000.9,61.7,14.82,21660
2019,6,15,20,30,19.2,0,197.1,0.6,997.6,1000.5,67.9,28.27,45060
2019,6,16,2,30,15.7,0,207.1,0.2,1000.2,1003.2,95.9,0,0
2019,6,16,7,0,17.7,0,328.5,0.5,1002.5,1005.4,90.2,0.66,3780
2019,6,16,23,30,16.9,0,284.6,0.2,1007.7,1010.7,91.4,21.58,34860
2019,6,18,13,30,21.2,0.1,196.7,4,1007.8,1010.7,87.1,5.14,1560
2019,6,19,14,0,23.9,0,315.4,1,1004.3,1007.2,63.4,9.1,3900
2019,6,20,6,30,18.6,0,0,0,1005.3,1008.2,97.4,0.12,0
2019,6,20,15,30,25.4,0,297.7,3.3,1003.6,1006.5,56.6,14.03,10140
2019,6,21,2,30,19.4,0,78.6,0.7,1004.2,1007.1,94.6,0,0
2019,6,21,3,0,19.2,0,129.9,0.3,1004,1006.9,97.1,0,0
2019,6,21,15,0,26,0,294.2,2.5,1002.2,1005.1,55.5,15.69,12720
2019,6,21,22,30,19,0,39.4,0.8,1003.9,1006.8,93.5,21.76,25440
2019,6,23,0,0,18.1,0,0,0,1004.1,1007,82.2,20.11,33420
2019,6,23,15,0,28.9,0,31.2,1.4,1004.7,1007.5,34.2,22.99,32460
2019,6,24,6,30,17.5,0,277.9,0.4,1008.9,1011.9,86,0.21,1860
