Year,Month,Day,Hour,Minute,TempOut2,Precipitation2,WindDirection2,WindSpeed2,LocalPressure2,SurfacePressure2,HumOut2,Radiation2,Sunlight2
2019,4,2,0,0,2.5,0,25.6,0.2,1021.6,1022.9,67.9,NaN,33720
2019,4,2,10,30,9.6,0,239.3,1.9,1023.1,1024.3,43.1,NaN,13500
2019,4,2,18,30,7.2,0,296.3,0.3,1020.8,1022,50.5,NaN,39120
2019,4,4,3,0,0.9,0,27.8,0,1021.2,1022.5,90,NaN,0
2019,4,5,14,30,13.8,0,294.6,2.5,1008.7,1009.9,45.6,NaN,8580
2019,4,5,18,0,10.8,0,286.8,1.4,1008.9,1010.1,33.4,NaN,19380
2019,4,6,13,0,14.3,0,195.3,2.5,1009.8,1011,35,NaN,13500
2019,4,6,18,0,15.2,0,184,2.5,1006.9,1008.1,30.9,NaN,14100
2019,4,7,2,0,10.3,0,18.8,0.4,1009.2,1010.4,77.7,NaN,0
2019,4,7,12,0,18,0,303.1,1.5,1008.3,1009.5,22.1,NaN,6420
2019,4,8,13,30,16.2,0,307.9,2.2,1013.7,1014.9,20.4,NaN,24240
2019,4,8,17,30,12,0,321.1,1.1,1014.3,1015.5,36,NaN,36480
2019,4,9,2,0,7.9,0,22,1.3,1016.2,1017.4,45.8,NaN,0
2019,4,9,11,0,15.6,0,14.8,2.5,1013.5,1014.7,32.8,NaN,7200
2019,4,9,17,30,11.9,0.5,32.9,4.2,1008.2,1009.4,55.2,NaN,7200
2019,4,9,20,30,7.8,15.1,64.4,5.5,1008.2,1009.4,82.1,NaN,7200
2019,4,10,1,0,7.2,2.7,87,5.5,1005.3,1006.5,81.5,NaN,0
2019,4,10,4,30,6.8,3.3,21.8,2.2,1006.5,1007.7,82.8,NaN,0
2019,4,11,6,30,3.2,0,18.4,1.4,1013.9,1015.1,93.6,NaN,0
2019,4,11,13,0,12.8,0,204.8,3.8,1013.5,1014.7,62.8,NaN,12060
2019,4,11,18,0,10.4,0,303.5,0.2,1013,1014.2,67.9,NaN,27120
2019,4,12,8,30,8.4,0,199,1.4,1017.3,1018.5,79.2,NaN,4560
2019,4,14,5,0,7,0,66.6,0,1014.7,1015.9,62.2,NaN,0
2019,4,15,20,0,8.3,0,213.4,0,1017.8,1019,60.9,NaN,40200
2019,4,16,0,30,6.5,0,17.3,0.5,1018.5,1019.7,56.6,NaN,0
2019,4,16,13,0,18,0,203,1.6,1015.5,1016.7,26.4,NaN,22920
2019,4,17,14,30,19,0,222.6,2,1010.4,1011.6,42.4,NaN,26280
2019,4,18,8,30,14.9,0,193.1,3.5,1010.2,1011.4,69.3,NaN,5100
2019,4,18,15,0,16.5,0,191.3,5,1010.7,1011.9,61,NaN,13380
2019,4,19,23,0,14.1,0,258.8,0.1,1014.9,1016.1,81.6,NaN,20820
2019,4,21,3,0,14.4,0,54.8,0,1011.3,1012.5,81.6,NaN,0
2019,4,21,11,30,16.3,0,316.2,0.9,1012.4,1013.6,72.9,NaN,240
2019,4,21,18,0,16.1,0,221.3,0.8,1011.2,1012.4,76.3,NaN,6600
2019,4,23,1,0,14.7,0,213.8,0,1014.1,1015.3,81.7,NaN,0
2019,4,24,3,0,15.2,5,16.2,1.9,1006,1007.2,93.7,NaN,0
2019,4,24,9,0,16.4,7.3,24.1,1.5,1005.2,1006.4,89.6,NaN,0
2019,4,25,1,30,10.6,0,198.1,0,1004.4,1005.6,96.2,NaN,0
2019,4,25,6,0,12,0,116.6,0,1004.3,1005.5,95.2,NaN,0
2019,4,26,8,30,9.1,0,199.9,0.9,1009.5,1010.7,90.8,NaN,0
2019,4,26,21,30,9.2,0.6,36.6,3.5,1014.9,1016.1,82.4,NaN,0
2019,4,27,9,0,11.3,0,9.7,1.7,1022.1,1023.3,61.6,NaN,10020
2019,4,28,22,30,12,0.1,51.4,1.9,1017.2,1018.4,63.3,NaN,18420
2019,4,29,0,30,11.2,0,43.5,0.9,1017.2,1018.4,64.3,NaN,0
2019,4,29,8,30,13.9,0,40.9,1.9,1013.5,1014.7,55.4,NaN,660
2019,4,29,9,30,15,0,36.9,3.1,1012.8,1014,53.5,NaN,1560
2019,4,29,23,30,11.1,10.1,34.5,1,1008.2,1009.4,89.3,NaN,1560
2019,4,30,12,30,17.2,0,212.4,2.8,1007.8,1009,66.5,NaN,17400
2019,4,30,13,0,17.3,0,187.4,3.2,1007.3,1008.5,65.7,NaN,19200
2019,5,1,5,0,9.2,0,24.1,0.8,1006.4,1007.6,89.9,NaN,0
2019,5,1,22,0,9.1,0,238.9,0.4,1007.2,1008.4,95.6,NaN,33540
2019,5,2,12,0,17.1,0,197.6,3.8,1011.8,1013,59.7,NaN,20940
2019,5,3,12,0,18.6,0,198.7,4,1016.5,1017.7,53.3,NaN,20880
2019,5,4,10,0,17,0,7.3,2,1018,1019.2,64.1,NaN,9660
2019,5,5,3,30,12.4,0,26.3,0.7,1015.3,1016.5,63.4,NaN,0
2019,5,6,1,30,11,0,39.6,0.7,1015,1016.2,85.8,NaN,0
2019,5,6,2,30,11.7,0,27.9,2,1014.9,1016.1,76.1,NaN,0
2019,5,6,21,30,9.1,0,50.1,0.1,1016.2,1017.4,66,NaN,42060
2019,5,7,10,30,15.3,0,197.8,2.7,1017.4,1018.6,44.3,NaN,16200
2019,5,8,4,30,7.4,0,331.3,0,1014,1015.2,75.9,NaN,0
2019,5,9,0,0,10.8,NaN,227.8,0,1010.3,1011.5,81,NaN,35100
2019,5,9,23,30,10.4,0,35,0.6,1010.9,1012.1,69,NaN,39420
2019,5,11,0,0,11.9,0,334,0,1012.8,1014,72.9,NaN,40020
2019,5,11,2,30,11.2,0,72.9,0.2,1012,1013.2,76.2,NaN,0
2019,5,11,7,0,12,0,23,0.7,1013,1014.2,65.9,NaN,3060
2019,5,11,12,30,22.7,0,267.2,1,1013.1,1014.3,35.1,NaN,22380
2019,5,11,13,0,21.6,0,336,0.9,1012.8,1014,41.2,NaN,24000
2019,5,11,17,30,20.7,0,103.5,0.2,1010.6,1011.8,36.5,NaN,38820
2019,5,12,6,30,12.3,0,149.8,0,1013.4,1014.6,73.5,NaN,0
2019,5,15,12,30,25.1,0,287.9,0.5,1011.8,1012.9,45.9,NaN,8640
2019,5,16,1,0,17.2,0,22.9,1.1,1010.4,1011.6,76.2,NaN,0
2019,5,16,13,30,24.5,0,201.5,3.3,1009.9,1011,51.7,NaN,12120
2019,5,16,15,30,25.9,0,239.8,0.5,1009.2,1010.3,46.4,NaN,18120
2019,5,18,0,0,16.7,0.4,297.9,0,1010.8,1012,90.1,NaN,9240
2019,5,18,2,0,16.9,2,42.3,1.5,1010.3,1011.5,91.1,NaN,0
2019,5,18,3,30,17,6.3,330.2,1.2,1009.5,1010.7,89.1,NaN,0
2019,5,18,5,0,17.5,9.2,60.1,1.3,1009.1,1010.3,80.2,NaN,0
2019,5,20,14,0,18.4,1.3,295.9,1.1,1006.2,1007.4,47.5,NaN,15720
2019,5,20,16,30,16.7,1.3,221.2,1.8,1006.2,1007.4,59.5,NaN,24600
2019,5,21,2,30,10.2,0,211,0.1,1007.1,1008.3,92.7,NaN,0
2019,5,21,10,30,18.5,0,198.1,2.1,1006.1,1007.3,56.1,NaN,16740
2019,5,24,1,0,16.2,0,279.5,0,1008.5,1009.7,87.8,NaN,0
2019,5,24,8,0,23.1,0,166.9,4.7,1009.3,1010.4,47.7,NaN,6240
2019,5,24,9,30,24.4,0,190.1,5.6,1009.7,1010.8,47.8,NaN,10980
2019,5,24,17,0,21.6,0,215.5,5.7,1008.4,1009.6,61.5,NaN,26520
2019,5,26,7,30,20.3,0,56.1,1.2,1014.1,1015.3,64.5,NaN,3240
2019,5,29,13,30,20.9,0,196.3,2.4,1009.2,1010.4,66.3,NaN,26820
2019,5,29,19,0,17.7,0,200.8,1.9,1008.8,1010,77.6,NaN,42240
2019,5,29,19,30,16.9,0,228,1.2,1009,1010.2,80.6,NaN,42240
2019,5,29,21,0,15,0,76.1,0,1009.6,1010.8,92,NaN,42240
2019,5,29,21,30,14.6,0,158.4,0,1009.9,1011.1,93.1,NaN,42240
2019,5,30,8,0,18.6,0,205.8,1.1,1010.7,1011.9,66.7,NaN,1920
2019,5,30,21,30,17.4,0,201.1,1.6,1011.8,1013,66,NaN,17400
2019,5,31,0,30,15.1,0,187.8,0.2,1009.9,1011.1,77.9,NaN,0
2019,5,31,1,30,15.5,0,129.6,0,1009.5,1010.7,73.4,NaN,0
2019,6,1,8,0,16.2,0,206.4,2.2,1009.4,1010.6,77.9,NaN,5100
2019,6,1,17,0,19.1,0,238.2,1.7,1008.2,1009.4,56.5,NaN,27900
2019,6,2,0,30,14.8,0,47.2,0,1007.7,1008.9,79.5,NaN,0
2019,6,2,12,30,24.7,0,192.3,2.2,1006.2,1007.3,39.8,NaN,18240
2019,6,2,17,0,23.6,0,279.9,0.7,1004.6,1005.7,30.1,NaN,22200
2019,6,3,1,30,15.2,0,28.1,1,1006,1007.2,72.2,NaN,0
2019,6,3,11,30,25.6,0,201.1,2.8,1007.1,1008.2,38.1,NaN,14400
2019,6,4,8,0,20.4,0,44.7,1.7,1007.9,1009.1,55.6,NaN,3360
2019,6,4,11,30,26.2,0,196.7,2.6,1007.8,1008.9,38.3,NaN,13620
2019,6,4,20,0,19.2,0,326.7,0.4,1007.2,1008.4,83.7,NaN,23040
2019,6,5,1,0,17.5,0,217.4,0.3,1008.9,1010.1,92.6,NaN,0
2019,6,5,13,0,22.5,0,214.7,1.2,1011.6,1012.8,70.7,NaN,3360
2019,6,5,20,0,18.5,0,235.2,0,1010.4,1011.6,86.5,NaN,19860
2019,6,5,21,0,18.3,0,198.7,1.9,1010.5,1011.7,89.1,NaN,19860
2019,6,6,13,30,23.1,0,12.3,1.8,1007.8,1008.9,73,NaN,0
2019,6,6,17,0,20.6,3.5,17.5,2.2,1005.3,1006.5,89.1,NaN,0
2019,6,7,13,0,20.4,17.1,0.6,3.6,998.9,1000.1,84.5,NaN,420
2019,6,8,1,30,17.8,0,43.4,1.4,1005.6,1006.8,84.3,NaN,0
2019,6,9,12,0,22.9,0,208.1,2.7,1003.4,1004.5,65.7,NaN,17940
2019,6,9,19,0,20,0,181.8,0.4,1002.7,1003.9,71.4,NaN,28500
2019,6,11,22,0,15.6,0,133,0,1008.1,1009.3,87,NaN,28800
2019,6,13,11,0,23.6,0,196.7,3.5,1009.1,1010.2,60.6,NaN,8460
2019,6,14,13,0,24.3,0,3.5,2.5,1003.9,1005,56.6,NaN,180
2019,6,14,20,30,21,0,212.6,1.1,1001.7,1002.8,76.5,NaN,9960
2019,6,15,2,30,17,0,104.3,1.1,1000.1,1001.3,69.4,NaN,0
2019,6,15,7,0,18.1,0,38,0.6,1000.6,1001.8,71.8,NaN,3120
2019,6,15,23,30,16,0,205.9,0,1000.7,1001.9,90,NaN,39600
2019,6,17,13,30,22.3,0,234.8,2.9,1011.5,1012.7,67.6,NaN,16020
2019,6,18,14,0,22.2,0,193.5,2.9,1009,1010.2,80.5,NaN,2160
2019,6,19,6,30,19.2,0,10.5,0.9,1007.8,1009,92.2,NaN,0
2019,6,19,15,30,24.7,0,297.5,1.6,1005,1006.1,62.9,NaN,1980
2019,6,20,2,30,18.1,0,68.2,0.4,1005.9,1007.1,92.2,NaN,0
2019,6,20,3,0,17.5,0,157.8,0,1005.7,1006.9,93.6,NaN,0
2019,6,20,15,0,25.6,0,216.8,1,1004.5,1005.6,60.7,NaN,12840
2019,6,20,22,30,19.8,0,337.1,0.4,1006.4,1007.6,88.5,NaN,14340
2019,6,22,0,0,20.3,0,22.6,1.5,1004.6,1005.8,83,NaN,10560
2019,6,22,15,0,24.5,0,204.5,1.8,1003.9,1005,69.5,NaN,19740
2019,6,23,6,30,18.9,0,185.5,0,1006.2,1007.4,90.1,NaN,0
