Year,Month,Day,Hour,Minute,WeatherTest_30min3,WeatherTest_30min4,WeatherTest_30min5,WeatherTest_30min6,WeatherTest_30min7,WeatherTest_30min8,WeatherTest_30min9,WeatherTest_30min10,WeatherTest_30min11,WeatherTest_30min12,WeatherTest_30min13,WeatherTest_30min14,WeatherTest_30min15,WeatherTest_30min16,WeatherTest_30min17,WeatherTest_30min18
2019,4,3,4,30,16.7,0.3,1020.3,1023.6,83.6,0,0,-1.7,0,27.2,0.3,1020.4,1023.7,85.5,0,0
2019,4,4,6,0,0,0,1020.3,1023.6,81,0.01,0,-3.5,0,105.6,0.4,1021,1024.3,84.2,0.01,0
2019,4,4,12,30,324.4,3.7,1020.8,1024,21.7,10.48,18420,10.9,0,314.7,5.3,1020.8,1024,22.7,13.8,22020
2019,4,5,0,30,24.3,0.6,1021.9,1025.2,68.4,24.83,41880,0.4,0,29.3,1.7,1021.6,1024.9,76.8,0,0
2019,4,5,11,30,192.6,2.3,1022.5,1025.7,52.1,7.09,14820,10.6,0,330.5,3.1,1021.9,1025.1,46.6,9.64,17880
2019,4,6,0,30,20.5,0.5,1020.8,1024.1,92,22.91,40980,1.4,0,247.4,0.6,1020.5,1023.8,93.7,0,0
2019,4,7,2,0,338.9,6.9,1010,1013.2,87.1,0,0,7.2,0,194.8,5.2,1008.9,1012.1,88.4,0,0
2019,4,7,21,30,356.7,1,1009.7,1012.9,47.1,21.2,30480,7.7,0,0.3,1.5,1009.9,1013.1,38.5,21.2,30480
2019,4,8,2,0,342.5,0.6,1011.2,1014.4,64.2,0,0,2.6,0,31.1,0.7,1010.9,1014.1,67.9,0,0
2019,4,10,23,30,0,0,1015.9,1019.1,52.7,22.02,39720,5.6,0,14.4,1.1,1016.2,1019.4,53.5,22.02,39720
2019,4,11,21,0,26.5,5.5,1008.2,1011.4,92.1,5.81,1260,6,19.6,49.5,5.3,1007.5,1010.7,94.5,5.81,1260
2019,4,12,7,30,15.1,3.3,1007.6,1010.8,94,0.02,0,5.7,1.4,42.3,2.6,1008.8,1012,89.4,0.14,0
2019,4,13,14,30,344,1.8,1012.2,1015.3,52.8,11.12,15000,14.5,0,354,4.5,1011.9,1015,47.9,13.74,18540
2019,4,14,7,0,24,1,1015,1018.2,97.2,0.02,0,4.9,0,332.7,0.3,1015.9,1019.1,97.2,0.26,120
2019,4,14,14,30,311.5,3.9,1016.2,1019.3,25.2,17.18,23520,17,0,311.2,2.7,1015.5,1018.6,21.3,20.18,27120
2019,4,15,16,0,248,4,1015.9,1019,20,20.59,30180,16.5,0,338,3.9,1016,1019.1,19.8,22.64,33780
2019,4,16,6,0,157.6,0.6,1013.3,1016.5,53.1,0,0,8.2,0,145.7,1.2,1012.3,1015.5,61.4,0.01,0
2019,4,16,14,30,346.4,4.9,1012.2,1015.3,63.9,5.94,3780,13.1,1.7,346.8,4.4,1012.1,1015.2,61.7,8.41,6900
2019,4,17,2,30,346.1,0.3,1015.6,1018.9,93.6,0,0,1,0,53.3,0.3,1015.6,1018.9,94.2,0,0
2019,4,18,1,30,226.9,0.1,1017.5,1020.7,91.7,0,0,4.3,0,29.8,0.5,1016.5,1019.7,92.8,0,0
2019,4,20,22,0,334,0.8,1011.4,1014.5,96.3,9.79,8520,11.2,0,12.1,0.7,1011.4,1014.5,97.2,9.79,8520
2019,4,21,4,30,23.7,0.6,1011.8,1014.9,97.2,0.02,0,10.4,0,6.7,1.2,1012.3,1015.4,97.2,0.02,0
2019,4,21,14,30,356.6,2.8,1013.3,1016.4,64.3,10.8,10020,18.5,0,354.3,2.2,1012.5,1015.5,56.5,12.4,11460
2019,4,22,8,30,259,0.8,1013.2,1016.3,85.3,0.77,1440,15.3,0,263,1.7,1013.6,1016.7,77.1,1.91,3300
2019,4,23,1,30,0,0,1011.2,1014.3,84.8,0,0,14,0,0,0,1010.6,1013.7,89.9,0.01,0
2019,4,23,23,30,25.1,1.3,1011.9,1015,92.1,9.21,10620,11.8,0.1,356.6,1.9,1012.3,1015.4,89,9.21,10620
2019,4,24,12,0,39.5,3.5,1012.6,1015.6,39.5,9.6,17160,25.1,0,356.8,1.4,1011.7,1014.7,30,13.01,20760
2019,4,24,13,0,356.8,1.4,1011.7,1014.7,30,13.01,20760,27,0,25.3,1.9,1010.8,1013.7,25.7,16.42,24360
2019,4,25,17,0,250,2.6,1008.5,1011.5,70.5,1.98,0,16.2,0,250.9,1.3,1008.2,1011.3,79.8,2.34,0
2019,4,26,4,30,9.1,1.9,1005.4,1008.5,97.7,0,0,14.3,5,10.6,1.9,1004.9,1008,97.7,0,0
2019,4,27,7,30,0,0,1004.1,1007.2,97.7,0.16,0,13,0,255.6,0.3,1004.2,1007.3,96.7,0.47,0
2019,4,28,15,30,345.1,1.6,1010,1013.1,97.7,3.23,0,9.3,2,348,2.4,1010,1013.1,97.7,3.58,0
2019,4,29,9,30,332.3,0.8,1021,1024.2,64.7,4.06,9360,13.3,0,306.2,1.8,1021.3,1024.4,55.9,7.34,12960
2019,4,29,21,30,44.1,3.2,1017,1020.2,56.3,30.32,33060,10.6,0,10.7,1.2,1018.5,1021.7,61.3,30.32,33060
2019,4,30,8,0,78.7,1.4,1019.7,1022.9,85.2,0.16,0,9.7,0.2,136.6,2.3,1019.8,1023,79.9,0.49,0
2019,5,1,6,0,27.7,0.8,1014.1,1017.3,75,0.01,0,9.2,0,18.9,1.5,1014,1017.2,71.9,0.11,0
2019,5,1,17,30,8.4,1.7,1008.4,1011.5,72.8,9.77,5340,14.2,0,43.5,1.8,1008.2,1011.3,61.3,10.44,5340
2019,5,2,3,30,39.9,0.6,1007.9,1011,94.3,0,0,8.8,0,56.2,1,1007.7,1010.8,96.9,0,0
2019,5,3,23,30,265.8,0.9,1006.1,1009.2,93.7,12.87,40260,8.1,0,0,0,1006.5,1009.6,95,12.87,40260
2019,5,4,1,30,223.8,0.3,1007,1010.2,97.5,0,0,7.3,0,157.6,0.5,1007,1010.2,97.5,0,0
2019,5,4,11,0,3.4,3.4,1010.7,1013.7,27.1,3.71,15180,20.2,0,331,2.8,1010.6,1013.6,23.1,5.38,18780
2019,5,4,12,30,354.1,4,1010.4,1013.4,20,6.28,20580,22.5,0,307.5,1.5,1010.1,1013.1,20.3,8.1,24180
2019,5,5,3,0,0,0.1,1012.4,1015.6,85.2,0,0,7.3,0,77.4,0.3,1012.4,1015.6,82,0,0
2019,5,5,15,30,257.7,4,1014,1017,29.7,19.86,31380,23.1,0,211.9,3.9,1013.5,1016.5,36.2,23.14,34980
2019,5,6,17,0,310.9,2.2,1014,1017,24.6,27.9,34260,24.8,0,313.3,1.7,1014,1017,24.8,29.59,37860
2019,5,8,5,0,354,2.7,1014.7,1017.8,43.4,0,0,10.4,0,351.9,2.8,1014.8,1018,41.1,0,0
2019,5,9,6,30,160.9,0.1,1015.3,1018.5,92.1,0.03,0,6.6,0,278,0.7,1015.8,1019,84.2,0.52,2820
2019,5,9,12,30,223.3,3.8,1015.2,1018.2,44.3,16.51,20820,19.7,0,218.7,3.8,1014.4,1017.4,35.7,21.16,24420
2019,5,10,2,0,225.9,1.3,1013.1,1016.3,82.9,0,0,6.5,0,253,0.2,1013.1,1016.3,89,0,0
2019,5,10,8,0,193.2,1.9,1012.4,1015.5,59.1,1.07,4320,14.7,0,192.6,2.7,1012.1,1015.2,56.7,2.71,7920
2019,5,10,15,0,236.6,5.1,1009.1,1012.1,45.7,23.81,29520,18.7,0,234.5,5,1008.6,1011.6,44.7,26.58,33120
2019,5,11,12,0,233.1,4.1,1009,1012,42,9.97,18000,20,0,219.3,3,1008.6,1011.6,39.9,13.26,21600
2019,5,12,1,0,47.7,0.2,1010.3,1013.5,92,0,0,8.4,0,0,0.1,1010.5,1013.7,95.4,0,0
2019,5,12,5,0,19.3,0.1,1010.8,1014,96.4,0,0,6.8,0,38.6,0.3,1010.6,1013.8,97.2,0,0
2019,5,13,5,0,0,0,1011.2,1014.4,87.1,0,0,8.3,0,22.5,0.3,1011.5,1014.7,72.5,0,0
2019,5,13,15,0,297.3,4,1011.3,1014.3,20.1,20.53,29820,24,0,306.9,3.4,1010.6,1013.6,19.1,23.39,33420
2019,5,13,20,30,0,0,1010.6,1013.7,43.7,28.21,46920,15,0,61.6,1.1,1011,1014.1,42.8,28.21,46920
2019,5,15,23,30,28.8,0.4,1011.2,1014.3,91.8,15.36,19320,14.3,0.4,0,0,1011.2,1014.3,89.8,15.36,19320
2019,5,17,16,30,213.1,3.1,1008.8,1011.8,39.8,22.57,28860,25.5,0,222.3,3,1008.8,1011.8,40.2,24.37,32460
2019,5,17,21,30,63.1,0.8,1009.8,1012.8,69.8,25.84,38580,16.5,0,45.2,1.1,1009.7,1012.8,72,25.84,38580
2019,5,18,6,0,62.5,0.9,1009.1,1012.2,95.1,0,0,15.6,0,359.8,0.4,1009.4,1012.5,87,0.12,0
2019,5,19,16,0,311.4,1.4,1008.2,1011.2,49.3,11.41,9600,23.9,0,332.6,2,1008.4,1011.4,53.8,12.06,9600
2019,5,19,23,30,260.3,0.6,1008.7,1011.7,67.3,12.72,9600,19.1,0,223.3,2,1009.6,1012.6,65.4,12.72,9600
2019,5,20,16,30,72,3.6,1007.5,1010.5,91.4,12.5,5520,18.2,3.9,93,4.8,1007.5,1010.5,90.6,13.01,5520
2019,5,21,2,0,81.5,4,1007.9,1010.9,79.3,0,0,19,0,71.9,2.5,1007.3,1010.3,79.7,0,0
2019,5,21,15,0,105.3,1,1005.1,1008.1,89.5,6.13,720,22,1.3,142.9,2.2,1004.4,1007.4,87.8,7.15,720
2019,5,22,3,30,249.5,2.8,1001.7,1004.7,97.2,0,0,16.9,2.1,313.7,2.2,1002.1,1005.1,81,0,0
2019,5,24,19,0,172.7,3.7,1002.6,1005.6,59.3,29.17,44940,18.3,0,177.6,4,1002.8,1005.8,66.4,29.34,46020
2019,5,25,1,0,183,4.1,1004.1,1007.1,72.3,0,0,16.3,0,203.9,3.6,1004.2,1007.2,76.9,0,0
2019,5,25,7,0,159,2.7,1005.4,1008.5,83,0.19,1620,17.4,0,158.9,2.9,1006.2,1009.2,78.6,0.97,5220
2019,5,25,9,0,164.6,3.5,1006.4,1009.4,67.6,2.49,8820,20.6,0,226.2,2.1,1006.4,1009.4,63.9,4.75,12420
2019,5,25,12,0,158.3,3.1,1006.9,1009.9,52.2,10.92,19620,23.9,0,162.2,2.7,1006.7,1009.6,53.1,14.47,23220
2019,5,25,14,30,162.4,2.9,1006.2,1009.1,53.2,19.76,28620,25.5,0,151.7,2.2,1005.8,1008.7,50.6,22.92,32220
2019,5,26,2,30,281.4,0.8,1007.1,1010.1,86.9,0,0,15,0,193,1.5,1007.5,1010.6,95.4,0,0
2019,5,26,3,30,193,1.5,1007.5,1010.6,95.4,0,0,15,0,0,0,1007.3,1010.4,97.2,0,0
2019,5,28,4,30,32.3,0.7,1013,1016.1,91.6,0,0,16,0,0,0,1013.2,1016.3,91.5,0,0
2019,5,29,3,0,150.1,3.6,1006,1009,84.1,0,0,18.7,1,150.1,3.5,1005,1008,95.2,0,0
2019,5,29,4,0,150.1,3.5,1005,1008,95.2,0,0,18.5,2.3,153.6,0.8,1003.7,1006.7,96.5,0,0
2019,5,29,5,30,147.8,1.6,1003.3,1006.3,97.1,0,0,18.1,5.4,156.9,2.5,1002,1005,94.8,0,0
2019,6,1,0,0,163.1,0.2,1009,1012,94.7,30,48360,13.7,0,166.8,1.6,1009.1,1012.1,97.2,0,0
2019,6,1,5,30,185.7,1.3,1008.6,1011.6,96,0,0,14.6,0,187.3,0.9,1009.3,1012.3,92.5,0.08,0
2019,6,1,21,0,149.8,0.8,1009.2,1012.1,62.2,15.4,15240,17.3,0.1,211.2,3.1,1010.4,1013.4,67.4,15.4,15240
2019,6,2,11,30,180.6,2.7,1008.2,1011.1,44.2,9.18,16140,22.2,0,228.8,4,1008.1,1011,50.3,12.63,19740
2019,6,5,9,0,146,1.8,1006.3,1009.2,48.4,2.46,8160,23,0,263.6,2.3,1005.8,1008.7,56.7,4.63,11760
2019,6,7,2,0,282.3,1,1007.6,1010.6,92,0,0,17.9,0,293.6,2,1008.1,1011.1,90.2,0.01,0
2019,6,7,17,0,244.4,2.4,1009.5,1012.4,59.6,20,20220,25,0,220.4,1.6,1008.9,1011.8,59.2,21.32,23760
2019,6,8,22,30,63.9,2.1,1002.5,1005.4,94.9,7.48,0,18.5,11.5,56.2,3.5,1000.9,1003.8,96.1,7.48,0
2019,6,9,18,30,19.1,2.2,1000.7,1003.6,58.3,8.72,4140,23.3,25.3,20.1,3.1,1001.4,1004.3,57.4,9.28,7740
2019,6,10,0,30,29,0.4,1005.2,1008.1,90.1,9.39,10020,17.6,0,23.7,0.9,1005,1007.9,86.4,0,0
2019,6,10,8,30,90,1.7,1006.4,1009.3,70.5,1.79,7260,21.5,0,242.4,0.8,1006.7,1009.6,62.9,3.58,10860
2019,6,10,15,30,246.7,4.4,1005.1,1008,66.2,18.01,29880,23.5,0,265.6,3.2,1005.3,1008.2,63.8,20.4,33480
2019,6,10,21,30,221.1,1.6,1004.8,1007.7,87.6,23.56,40920,18.9,0,190.8,0.9,1004.7,1007.6,90.7,23.56,40920
2019,6,11,13,0,193.4,0.8,1002.2,1005.1,59.4,10.86,13440,24.2,0,123.2,0.4,1001.4,1004.3,62.2,13.26,16500
2019,6,11,16,30,321.9,3,1001.3,1004.2,71,15.79,17580,22,0,11.2,1.5,1000.9,1003.8,69.4,17.2,19620
2019,6,12,23,30,46.5,0.1,1005.6,1008.5,86.8,12.6,660,17.8,13.2,0,0,1005.6,1008.5,87.4,12.6,660
2019,6,13,2,30,19.1,1.1,1005.5,1008.5,93.3,0,0,16.3,0,4.6,0.4,1005.6,1008.6,97,0,0
2019,6,13,4,30,21.5,1.2,1005.5,1008.5,97.5,0,0,16.4,0,7.2,1.8,1005.7,1008.7,97.5,0,0
2019,6,13,20,0,299.1,2,1005.5,1008.4,58.1,22.05,35520,18.5,0,330.9,1.4,1006.2,1009.1,62.9,22.06,36240
2019,6,14,2,30,0,0,1007.5,1010.5,94.5,0,0,13.6,0,0,0,1007.5,1010.5,97.4,0,0
2019,6,14,6,30,0,0,1007.7,1010.7,97.4,0.06,60,15.5,0,175.7,0.5,1008.2,1011.2,86.8,0.58,3660
2019,6,14,20,0,9.9,0.4,1007.4,1010.3,59.7,28.96,48120,19.3,0,53.1,1.1,1007.6,1010.5,65.8,28.97,48360
2019,6,15,1,30,343.3,0.6,1008.3,1011.3,96.1,0,0,15.2,0,0,0,1008.3,1011.3,97.3,0,0
2019,6,19,13,30,222.1,2.1,1010.1,1013,61.6,12.92,17760,24.4,0,220,2.9,1010.1,1013,56.7,16.19,21360
2019,6,20,18,0,198.6,3.6,1006.4,1009.3,77.9,9.97,4920,21.6,0.1,193.8,2.7,1006.5,1009.4,81.8,10.46,5700
2019,6,20,20,30,291.6,1.2,1007.6,1010.5,82.1,10.55,5700,20.8,0.1,233.4,0.8,1007.7,1010.6,83.7,10.55,5700
2019,6,21,2,0,218.5,1.5,1006,1008.9,97.4,0,0,19.3,0,216.1,0.9,1005.6,1008.5,95.6,0,0
2019,6,22,13,0,293.4,1.1,1004.7,1007.6,56.7,7.09,3000,25.1,0,314.1,2.6,1004.4,1007.3,58.7,9.62,4920
2019,6,22,21,30,321.5,1.6,1005,1007.9,86.7,18.15,19080,20.4,0,326,1.2,1005.6,1008.5,86.5,18.15,19080
2019,6,23,13,30,264.5,1.6,1003.2,1006.1,55.4,10.72,7380,24.9,0,353.1,3.1,1002.8,1005.7,58.7,12.94,9480
2019,6,24,14,30,243.7,3.3,1002.7,1005.6,60.4,13.1,17400,26.7,0,314.3,2.6,1002.6,1005.5,56.1,14.63,18900
2019,6,25,4,0,40.6,1.5,1004.3,1007.3,97.4,0,0,16.6,0,0,0,1004.7,1007.7,97.4,0,0
2019,6,25,12,30,24.6,2.3,1005.4,1008.2,34.6,12.73,21660,28.9,0,108.2,3.7,1005.3,1008.1,32.9,16.29,25260
2019,6,26,1,30,0,0,1007.1,1010.1,82.3,0,0,17.3,0,71.4,0.8,1007.2,1010.2,81.4,0,0
2019,6,26,15,30,219.9,4,1009.3,1012.2,46.7,22.53,32460,27.5,0,239.9,2.8,1009.2,1012.1,46.5,25.23,36060
2019,6,28,2,0,0,0,1009.7,1012.6,70.1,0,0,19.2,0,43,1.3,1009.1,1012,65.7,0,0
2019,6,28,14,30,230.2,3.2,1006.1,1009,63.3,6.25,1740,22.4,0,237.2,3.3,1005.4,1008.3,80.7,7.15,1740
2019,6,29,5,30,51.3,0.8,998.7,1001.6,97.4,0,0,21.1,0,46.3,0.2,998.8,1001.7,97.4,0.01,0
2019,6,29,8,0,3.6,0.8,998.8,1001.7,95.7,0.35,0,22.9,0,292.6,1.9,998.8,1001.7,88.6,1.08,0
2019,6,29,14,0,250,2.6,997.3,1000.2,80.1,6.89,1680,25.2,0,221.8,2.3,997.1,1000,79.6,7.61,1680
2019,6,30,21,30,226.7,2,999.5,1002.4,82.9,20.2,18060,22.4,0,217.7,1.6,999.9,1002.8,89.4,20.2,18060
2019,6,30,22,0,220.2,1.9,999.8,1002.7,84.8,20.2,18060,22.3,0,234.9,1.7,1000,1002.9,91.7,20.2,18060
2019,7,1,1,30,199.8,1,998.9,1001.8,97.4,0,0,21.2,1,188.5,0.9,998.5,1001.4,97.4,0,0
2019,7,2,19,30,210.7,2.2,999.8,1002.7,93.3,10.97,5820,22.6,0,196.6,2.9,1000,1002.9,96.3,10.99,5820
2019,7,3,16,30,311.1,3.2,1003.3,1006.2,57.3,14.66,15720,26.6,0,220.2,3.7,1002.9,1005.8,55.8,16.57,19140
2019,7,7,15,0,335.7,2.8,999.1,1001.9,45.2,19.51,23520,31.7,0,18.8,1.6,998.7,1001.5,41.9,22.36,27120
2019,7,7,21,0,58,1.2,999.5,1002.4,45.2,27.54,41520,23.5,0,70.8,1,1000,1002.9,47.3,27.54,41520
2019,7,8,1,30,0,0,999.5,1002.4,73.1,0,0,20.6,0,58.4,0.7,999.6,1002.5,66,0,0
2019,7,8,12,30,90.7,4.6,1001,1003.8,28,12.28,21360,33.4,0,76.8,3.6,1000.4,1003.2,28.2,15.76,24960
2019,7,9,7,30,62.3,1.3,1004.7,1007.6,64.7,0.47,2340,24.7,0,75.3,2.2,1004.9,1007.8,58.8,1.11,4380
2019,7,9,8,30,75.3,2.2,1004.9,1007.8,58.8,1.11,4380,26.3,0,122.7,3.6,1004.8,1007.7,52.9,2.92,7980
2019,7,9,9,30,122.7,3.6,1004.8,1007.7,52.9,2.92,7980,27.2,0,64.9,3.2,1004,1006.8,50.5,5.38,11580
2019,7,9,18,30,222.4,2.1,1003.8,1006.7,55,21.2,28800,26.9,0,233.4,0.4,1003.7,1006.6,52.3,21.64,28800
2019,7,9,23,30,77.1,1,1004.4,1007.3,58.1,21.78,29280,23.4,0,66.7,2.3,1004.6,1007.5,52.4,21.78,29280
2019,7,10,9,30,96.2,3.1,1005.7,1008.6,52.7,3.05,8700,26.4,0,95.5,3.5,1005.4,1008.3,46.1,5.35,11460
2019,7,11,13,30,71.9,1.7,1002.9,1005.7,40.4,14.73,24480,29.1,0,56.9,2.9,1002.3,1005.1,39.7,18.26,28080
2019,7,13,9,30,4.1,2.6,1002.1,1005,88.4,1.08,0,21.6,0,343.5,2.5,1002.3,1005.2,85.3,1.69,0
2019,7,13,12,30,333.7,2.3,1002.2,1005.1,80.1,4.36,720,23,0,331.2,3.9,1002.3,1005.2,76.6,5.5,720
2019,7,14,1,0,189.9,1.7,1004.9,1007.8,97.2,0,0,18.5,0,181,1.7,1004.7,1007.6,97.2,0,0
2019,7,14,5,0,147.4,1.1,1004.8,1007.7,97.2,0,0,17.8,0,194.8,0.2,1005.3,1008.2,97.2,0.01,0
2019,7,14,18,0,217.1,3.5,1002.6,1005.4,68.9,21.84,31140,24.2,0,226,2.8,1002.8,1005.7,72.9,22.44,31140
2019,7,15,0,0,189.5,1.7,1002.8,1005.7,97.2,22.7,31140,21.4,0,187.7,1.1,1002.5,1005.4,97.2,0,0
2019,7,15,9,30,226.4,1.5,1000.4,1003.3,97.2,0.31,0,21.3,52.4,191.9,0.6,1000.3,1003.2,95.9,0.68,0
2019,7,15,17,30,221.7,2.5,997.4,1000.2,78.3,8.28,4260,24,52.5,212.4,2.4,997.2,1000,79.8,9.28,7380
2019,7,15,22,30,186.2,0.2,998.9,1001.8,97.2,9.72,7860,21.3,52.5,93.9,0.4,999.1,1002,97.2,9.72,7860
2019,7,16,3,30,0,0,998.9,1001.8,97.2,0,0,21,0,330.7,0.4,998.7,1001.6,97.2,0,0
2019,7,16,10,30,270.3,1.6,1000,1002.9,82.3,3.31,900,26.2,0,204.2,1.5,1000.2,1003.1,70.1,5.81,3780
2019,7,17,22,30,107.7,0.1,1006.3,1009.2,89.2,12.25,12360,22.3,4.9,0,0,1006.7,1009.6,92.9,12.25,12360
2019,7,18,2,0,120.2,1,1006.8,1009.7,95.7,0,0,21.6,1.4,141.7,0.6,1006.6,1009.5,97.2,0,0
2019,7,19,21,0,69.3,1,1007.4,1010.3,80.5,14.91,11100,23.2,0,66.7,0.4,1008.1,1011,90.8,14.91,11100
2019,7,20,0,30,44,0.8,1008.1,1011,83.6,14.91,11100,22.8,0,131.3,0.7,1007.7,1010.6,87.9,0,0
2019,7,20,4,30,345.1,0.7,1008,1010.9,97.2,0,0,21.7,8.5,0,0,1007.9,1010.8,97.2,0,0
2019,7,21,21,30,88.5,2.3,1002.1,1004.9,79.1,17.85,26640,26.5,0.3,69.1,1.8,1002.1,1005,78.6,17.85,26640
2019,7,21,23,0,68.3,1.9,1002,1004.9,77.5,17.85,26640,26.3,0.3,36,1.3,1001.7,1004.6,77.6,17.85,26640
2019,7,22,2,0,66.5,3.2,1000.9,1003.7,73.4,0,0,26.6,0,73.6,3.7,1000.1,1002.9,72.3,0,0
