WeatherTest1,WeatherTest2,WeatherTest3,WeatherTest4,WeatherTest5,WeatherTest6,WeatherTest7,WeatherTest8,WeatherTest9,WeatherTest10,WeatherTest11,WeatherTest12,WeatherTest13,WeatherTest14,WeatherTest15,WeatherTest16,WeatherTest17,WeatherTest18,WeatherTest19,WeatherTest20,WeatherTest21,WeatherTest22,WeatherTest23,WeatherTest24,WeatherTest25,WeatherTest26,WeatherTest27,WeatherTest28,WeatherTest29,WeatherTest30,WeatherTest31,WeatherTest32,WeatherTest33,WeatherTest34,WeatherTest35,WeatherTest36,WeatherTest37,WeatherTest38,WeatherTest39,WeatherTest40,WeatherTest41,WeatherTest42,WeatherTest43,WeatherTest44,WeatherTest45,WeatherTest46,WeatherTest47,WeatherTest48,WeatherTest49,WeatherTest50,WeatherTest51,WeatherTest52,WeatherTest53,WeatherTest54,WeatherTest55,WeatherTest56,WeatherTest57,WeatherTest58,WeatherTest59,WeatherTest60,WeatherTest61,WeatherTest62,WeatherTest63,WeatherTest64,WeatherTest65,WeatherTest66,WeatherTest67,WeatherTest68,WeatherTest69,WeatherTest70,WeatherTest71,WeatherTest72,WeatherTest73,WeatherTest74,WeatherTest75,WeatherTest76,WeatherTest77,WeatherTest78,WeatherTest79,WeatherTest80,WeatherTest81,WeatherTest82,WeatherTest83,WeatherTest84,WeatherTest85,WeatherTest86,WeatherTest87,WeatherTest88,WeatherTest89,WeatherTest90,WeatherTest91,WeatherTest92,WeatherTest93,WeatherTest94,WeatherTest95,WeatherTest96,WeatherTest97,WeatherTest98,WeatherTest99,WeatherTest100,WeatherTest101,WeatherTest102,WeatherTest103,WeatherTest104,WeatherTest105,WeatherTest106,WeatherTest107,WeatherTest108,WeatherTest109,WeatherTest110,WeatherTest111,WeatherTest112,WeatherTest113,WeatherTest114,WeatherTest115,WeatherTest116,WeatherTest117,WeatherTest118,WeatherTest119,WeatherTest120,WeatherTest121,WeatherTest122,WeatherTest123,WeatherTest124,WeatherTest125,WeatherTest126,WeatherTest127,WeatherTest128,WeatherTest129,WeatherTest130,WeatherTest131,WeatherTest132,WeatherTest133,WeatherTest134,WeatherTest135,WeatherTest136,WeatherTest137,WeatherTest138,WeatherTest139,WeatherTest140,WeatherTest141,WeatherTest142,WeatherTest143,WeatherTest144,WeatherTest145,WeatherTest146,WeatherTest147,WeatherTest148,WeatherTest149,WeatherTest150,WeatherTest151,WeatherTest152,WeatherTest153,WeatherTest154,WeatherTest155,WeatherTest156,WeatherTest157,WeatherTest158,WeatherTest159,WeatherTest160,WeatherTest161,WeatherTest162,WeatherTest163,WeatherTest164,WeatherTest165,WeatherTest166,WeatherTest167,WeatherTest168,WeatherTest169,WeatherTest170,WeatherTest171,WeatherTest172,WeatherTest173,WeatherTest174,WeatherTest175,WeatherTest176,WeatherTest177,WeatherTest178,WeatherTest179,WeatherTest180,WeatherTest181,WeatherTest182,WeatherTest183,WeatherTest184,WeatherTest185,WeatherTest186,WeatherTest187,WeatherTest188,WeatherTest189,WeatherTest190,WeatherTest191,WeatherTest192,WeatherTest193,WeatherTest194,WeatherTest195,WeatherTest196,WeatherTest197,WeatherTest198,WeatherTest199,WeatherTest200,WeatherTest201,WeatherTest202,WeatherTest203,WeatherTest204,WeatherTest205,WeatherTest206,WeatherTest207,WeatherTest208,WeatherTest209,WeatherTest210,WeatherTest211,WeatherTest212,WeatherTest213,WeatherTest214,WeatherTest215,WeatherTest216,WeatherTest217,WeatherTest218,WeatherTest219,WeatherTest220,WeatherTest221,WeatherTest222,WeatherTest223,WeatherTest224,WeatherTest225,WeatherTest226,WeatherTest227,WeatherTest228,WeatherTest229,WeatherTest230,WeatherTest231,WeatherTest232,WeatherTest233,WeatherTest234,WeatherTest235,WeatherTest236,WeatherTest237,WeatherTest238,WeatherTest239,WeatherTest240,WeatherTest241,WeatherTest242,WeatherTest243,WeatherTest244,WeatherTest245,WeatherTest246,WeatherTest247,WeatherTest248,WeatherTest249,WeatherTest250,WeatherTest251,WeatherTest252,WeatherTest253,WeatherTest254,WeatherTest255,WeatherTest256,WeatherTest257,WeatherTest258,WeatherTest259,WeatherTest260,WeatherTest261,WeatherTest262,WeatherTest263,WeatherTest264,WeatherTest265,WeatherTest266,WeatherTest267,WeatherTest268,WeatherTest269,WeatherTest270,WeatherTest271,WeatherTest272,WeatherTest273,WeatherTest274,WeatherTest275
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,4,3,7,0,-1.1,0,6.8,0.5,1022,1025.3,88.4,0.08,360,-1.1,0,13.4,0.6,1022,1025.3,88.5,0.07,300,-1.2,0,16,0.6,1022,1025.3,88.6,0.07,240,-1.2,0,3.8,0.5,1022,1025.3,89.1,0.06,180,-1.2,0,355.2,0.4,1022,1025.3,89.4,0.06,120,-1.4,0,6.7,0.2,1022,1025.3,89.1,0.05,60,-1.5,0,28.3,0.2,1022,1025.3,88.6,0.05,0,-1.6,0,33.7,0.5,1022,1025.3,87.9,0.05,0,-1.6,0,70.4,0.6,1022,1025.3,87.2,0.04,0,-1.5,0,29.8,0.6,1022.1,1025.4,87.1,0.04,0,-1.3,0,83.9,0.9,1022.1,1025.4,87.5,0.04,0,-1.1,0,30.2,0.8,1022.1,1025.4,88.3,0.04,0,-1.1,0,18.1,0.9,1022,1025.3,88.6,0.04,0,-1.1,0,50.7,1,1022,1025.3,88.7,0.03,0,-1.1,0,27.7,1.1,1022,1025.3,89.1,0.03,0,-1.1,0,22.8,0.7,1022.1,1025.4,87.9,0.09,480,-1.1,0,13,0.6,1022.1,1025.4,88,0.09,540,-1.1,0,18.2,0.3,1022.1,1025.4,88.2,0.1,600,-1.1,0,45.2,0.7,1022.1,1025.4,88.2,0.1,660,-1.2,0,67.8,0.6,1022.1,1025.4,87.9,0.11,720,-1.2,0,34,0.4,1022.1,1025.4,87.9,0.11,780,-1,0,21.3,0.3,1022.1,1025.4,88.9,0.12,840,-0.8,0,25.8,0.2,1022.1,1025.4,89.1,0.12,900,-0.8,0,356.9,0.2,1022.1,1025.4,88.5,0.13,960,-0.7,0,355,0.3,1022.1,1025.4,88.1,0.14,1020,-0.6,0,45.2,0.1,1022.1,1025.4,87.9,0.14,1080,-0.6,0,0,0,1022.2,1025.5,87.4,0.15,1140,-0.5,0,0,0.1,1022.2,1025.5,86.9,0.16,1200,-0.5,0,0,0.1,1022.2,1025.5,86.4,0.16,1260,-0.5,0,33.1,0.2,1022.2,1025.5,86.2,0.17,1320
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,4,3,19,30,6.3,0,278.6,1.7,1019.7,1022.9,42.2,22.91,40980,6.5,0,322.2,1.5,1019.7,1022.9,41.2,22.91,40980,6.6,0,255.1,1.5,1019.7,1022.9,40.3,22.91,40980,6.7,0,264.5,1.7,1019.7,1022.9,39.4,22.91,40980,6.8,0,322.1,1.9,1019.7,1022.9,38.5,22.91,40980,7,0,337.4,1.8,1019.7,1022.9,37.5,22.91,40980,7,0,341.3,2,1019.7,1022.9,36.9,22.91,40980,7,0,342.1,1.7,1019.8,1023,36.3,22.91,40980,7.1,0,334.3,1.8,1019.8,1023,35.8,22.91,40980,7.1,0,298.9,2,1019.7,1022.9,35.7,22.91,40980,7.1,0,335.7,2,1019.7,1022.9,35.6,22.91,40980,7.1,0,320,1.9,1019.7,1022.9,35.5,22.91,40980,7.2,0,291.7,2.3,1019.6,1022.8,35.7,22.91,40980,7.3,0,294.7,3,1019.6,1022.8,35,22.91,40980,7.3,0,333.7,3.1,1019.6,1022.8,34.2,22.91,40980,6.2,0,270,1.6,1019.7,1022.9,42.2,22.91,40980,6.1,0,339.6,1.3,1019.7,1022.9,42.6,22.91,40980,6,0,343.3,1.5,1019.7,1022.9,43,22.91,40980,5.9,0,329.2,2.2,1019.7,1022.9,43.1,22.91,40980,5.9,0,286.5,1.4,1019.7,1022.9,42.6,22.91,40980,5.9,0,277.2,1.5,1019.7,1022.9,42.1,22.91,40980,6,0,327,1.9,1019.8,1023,41.7,22.91,40980,6,0,326.3,1.9,1019.8,1023,41.5,22.91,40980,6.1,0,284.8,2,1019.8,1023,41.1,22.91,40980,6.1,0,331.4,2.6,1019.8,1023,40.4,22.91,40980,6.2,0,332.2,2,1019.8,1023,39.7,22.91,40980,6.3,0,300.6,2.5,1019.9,1023.1,39.5,22.91,40980,6.3,0,300.7,2.4,1019.9,1023.1,39,22.91,40980,6.4,0,333.8,1.7,1020,1023.2,38.7,22.91,40980,6.4,0,282.9,1.2,1020,1023.2,39.3,22.91,40980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,4,4,4,30,-0.3,0,197.2,0.1,1019.1,1022.4,97.2,0,0,-0.1,0,319.2,0.4,1019.1,1022.4,97.2,0,0,-0.2,0,285.1,0.3,1019.1,1022.4,97.2,0,0,-0.3,0,328.7,0.3,1019.1,1022.4,97.2,0,0,-0.3,0,329.2,0.2,1019.1,1022.4,97.1,0,0,-0.4,0,342.1,0.2,1019.1,1022.4,97.2,0,0,-0.6,0,0,0.1,1019.1,1022.4,97.2,0,0,-0.7,0,0,0,1019.1,1022.4,97.2,0,0,-0.7,0,0,0,1019.1,1022.4,97.1,0,0,-0.7,0,0,0,1019.1,1022.4,96.8,0,0,-0.5,0,0,0,1019.1,1022.4,97.1,0,0,-0.3,0,0,0,1019.2,1022.5,97.2,0,0,-0.2,0,0,0,1019.2,1022.5,97.2,0,0,-0.1,0,0,0,1019.2,1022.5,97.2,0,0,-0.2,0,0,0,1019.2,1022.5,97.2,0,0,-0.5,0,0,0.1,1019.1,1022.4,97.2,0,0,-0.6,0,0,0.1,1019.1,1022.4,97.1,0,0,-0.5,0,337.8,0.1,1019.1,1022.4,97.2,0,0,-0.4,0,243.2,0.1,1019.1,1022.4,97.2,0,0,-0.3,0,0,0,1019.1,1022.4,97.2,0,0,-0.3,0,0,0.1,1019.1,1022.4,97.2,0,0,-0.2,0,0,0,1019.1,1022.4,97.2,0,0,-0.2,0,0,0,1019.1,1022.4,97.1,0,0,-0.3,0,0,0,1019.1,1022.4,97.2,0,0,-0.4,0,0,0,1019.1,1022.4,97.2,0,0,-0.5,0,0,0,1019,1022.3,97.1,0,0,-0.6,0,0,0,1019,1022.3,96.9,0,0,-0.5,0,0,0,1019,1022.3,97.1,0,0,-0.5,0,0,0,1019,1022.3,97.2,0,0,-0.5,0,0,0,1019,1022.3,97.2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
