TempIn,HumIn,TempCoil,TempFac,HumFac
8.62142739492989,47.621051570924,11.38883129309,2.70992752645608,62.4655716338183
8.82014907588181,56.3773422200225,11.9664371356843,3.2262352286535,77.8377191941753
14.9593300282897,45.6729656707539,13.2758103213709,13.5046461474608,49.5457478338983
13.2714463164641,51.9200609727785,13.571945841353,8.51228406888687,69.890004652685
15.1504013299386,55.5347852673366,13.641878917152,16.5573298673135,46.1870104753878
11.0563919231695,41.0343654323725,12.3179985457428,4.85131915613367,56.059296361671
13.9117065621984,40.0151918875746,13.7122038724032,10.8163547779482,45.6034128837273
14.7423730980721,26.7117692464539,13.8549040150641,11.3926677454465,32.6439481852902
12.3857230220697,41.2855334744306,12.5982042018694,7.5097255459071,46.3930543925099
11.0842306650953,60.710800043986,12.528178403461,5.94997503393983,73.0227928038292
14.6298735795487,41.6577888661526,12.9128666183152,9.62071145584254,54.8009971295578
11.212728042098,60.8288789367313,12.7101516145058,8.32247028472573,72.107951169658
16.8426857637981,28.8589177826999,14.3294182523904,15.5721946131666,27.6597937214984
13.1250980234159,45.0981652886407,13.8297160911369,10.061731228222,50.5571017252526
15.5939856332159,51.9472778131789,13.925422992538,13.778077951914,50.1029154734236
16.5248017320544,24.4527032219049,14.3320408748393,14.5072233572778,27.1859236736509
10.4244569716863,53.1538258662199,12.6726179207278,5.86971656947239,68.9927633729411
18.2672062211002,27.4407727164062,14.8177992474324,20.5380099191713,28.5354404428866
12.6982408716907,43.5985974384212,13.799992784052,8.85068179872302,51.8978405211294
15.6440678808405,58.5370698929949,14.3816039986012,11.4023757547529,69.7841898456797
17.6698367138902,54.9880817113856,14.6226071110513,15.9770869605621,58.5453760895514
16.5267153429214,66.9615005840896,15.5930055523259,13.6576735189741,78.0069442160251
16.5001536154111,61.7493430158054,14.7554291529054,16.6354284334584,65.3642898203504
15.3870047993219,50.4968415555961,14.1818740215371,18.6736062594068,45.7431737017131
17.9086040916226,60.0498287404114,16.1359116239393,15.0382263669652,71.1151749986065
16.778626606123,78.1815910941428,16.3625156149754,14.6016960726597,89.2576009267781
18.6907931279629,65.6287865592136,16.3755576923954,19.6835079748838,67.4687979561042
19.0505792246919,60.8208318308795,16.0061323054746,22.0606260986605,57.3877742546248
17.0408947334482,67.8215631336653,14.3314115981588,12.7046461466335,72.9012586067821
14.5231978584166,58.6830481480262,14.2405396807874,10.172301500632,72.7789417782721
12.4185136355224,52.8523977294757,13.4293326079479,10.55085026231,59.0648080308552
17.6184694056698,49.3896267973182,14.7581004724611,14.7932345547843,45.8803991909411
15.7460416492104,49.7292483959813,14.4775446369065,16.4703414565406,35.7582313702077
16.4737175355097,57.2315300011792,15.3170203030756,12.2010816888704,73.2278703213335
15.3278234165237,58.9411410772554,15.0510084976332,15.198892719189,56.6468327574747
