WeatherTest1,WeatherTest2,WeatherTest3,WeatherTest4,WeatherTest5,WeatherTest6,WeatherTest7,WeatherTest8,WeatherTest9,WeatherTest10,WeatherTest11,WeatherTest12,WeatherTest13,WeatherTest14,WeatherTest15,WeatherTest16,WeatherTest17,WeatherTest18,WeatherTest19,WeatherTest20,WeatherTest21,WeatherTest22,WeatherTest23,WeatherTest24,WeatherTest25,WeatherTest26,WeatherTest27,WeatherTest28,WeatherTest29,WeatherTest30,WeatherTest31,WeatherTest32,WeatherTest33,WeatherTest34,WeatherTest35,WeatherTest36,WeatherTest37,WeatherTest38,WeatherTest39,WeatherTest40,WeatherTest41,WeatherTest42,WeatherTest43,WeatherTest44,WeatherTest45,WeatherTest46,WeatherTest47,WeatherTest48,WeatherTest49,WeatherTest50,WeatherTest51,WeatherTest52,WeatherTest53,WeatherTest54,WeatherTest55,WeatherTest56,WeatherTest57,WeatherTest58,WeatherTest59,WeatherTest60,WeatherTest61,WeatherTest62,WeatherTest63,WeatherTest64,WeatherTest65,WeatherTest66,WeatherTest67,WeatherTest68,WeatherTest69,WeatherTest70,WeatherTest71,WeatherTest72,WeatherTest73,WeatherTest74,WeatherTest75,WeatherTest76,WeatherTest77,WeatherTest78,WeatherTest79,WeatherTest80,WeatherTest81,WeatherTest82,WeatherTest83,WeatherTest84,WeatherTest85,WeatherTest86,WeatherTest87,WeatherTest88,WeatherTest89,WeatherTest90,WeatherTest91,WeatherTest92,WeatherTest93,WeatherTest94,WeatherTest95,WeatherTest96,WeatherTest97,WeatherTest98,WeatherTest99,WeatherTest100,WeatherTest101,WeatherTest102,WeatherTest103,WeatherTest104,WeatherTest105,WeatherTest106,WeatherTest107,WeatherTest108,WeatherTest109,WeatherTest110,WeatherTest111,WeatherTest112,WeatherTest113,WeatherTest114,WeatherTest115,WeatherTest116,WeatherTest117,WeatherTest118,WeatherTest119,WeatherTest120,WeatherTest121,WeatherTest122,WeatherTest123,WeatherTest124,WeatherTest125,WeatherTest126,WeatherTest127,WeatherTest128,WeatherTest129,WeatherTest130,WeatherTest131,WeatherTest132,WeatherTest133,WeatherTest134,WeatherTest135,WeatherTest136,WeatherTest137,WeatherTest138,WeatherTest139,WeatherTest140,WeatherTest141,WeatherTest142,WeatherTest143,WeatherTest144,WeatherTest145,WeatherTest146,WeatherTest147,WeatherTest148,WeatherTest149,WeatherTest150,WeatherTest151,WeatherTest152,WeatherTest153,WeatherTest154,WeatherTest155,WeatherTest156,WeatherTest157,WeatherTest158,WeatherTest159,WeatherTest160,WeatherTest161,WeatherTest162,WeatherTest163,WeatherTest164,WeatherTest165,WeatherTest166,WeatherTest167,WeatherTest168,WeatherTest169,WeatherTest170,WeatherTest171,WeatherTest172,WeatherTest173,WeatherTest174,WeatherTest175,WeatherTest176,WeatherTest177,WeatherTest178,WeatherTest179,WeatherTest180,WeatherTest181,WeatherTest182,WeatherTest183,WeatherTest184,WeatherTest185,WeatherTest186,WeatherTest187,WeatherTest188,WeatherTest189,WeatherTest190,WeatherTest191,WeatherTest192,WeatherTest193,WeatherTest194,WeatherTest195,WeatherTest196,WeatherTest197,WeatherTest198,WeatherTest199,WeatherTest200,WeatherTest201,WeatherTest202,WeatherTest203,WeatherTest204,WeatherTest205,WeatherTest206,WeatherTest207,WeatherTest208,WeatherTest209,WeatherTest210,WeatherTest211,WeatherTest212,WeatherTest213,WeatherTest214,WeatherTest215,WeatherTest216,WeatherTest217,WeatherTest218,WeatherTest219,WeatherTest220,WeatherTest221,WeatherTest222,WeatherTest223,WeatherTest224,WeatherTest225,WeatherTest226,WeatherTest227,WeatherTest228,WeatherTest229,WeatherTest230,WeatherTest231,WeatherTest232,WeatherTest233,WeatherTest234,WeatherTest235,WeatherTest236,WeatherTest237,WeatherTest238,WeatherTest239,WeatherTest240,WeatherTest241,WeatherTest242,WeatherTest243,WeatherTest244,WeatherTest245,WeatherTest246,WeatherTest247,WeatherTest248,WeatherTest249,WeatherTest250,WeatherTest251,WeatherTest252,WeatherTest253,WeatherTest254,WeatherTest255,WeatherTest256,WeatherTest257,WeatherTest258,WeatherTest259,WeatherTest260,WeatherTest261,WeatherTest262,WeatherTest263,WeatherTest264,WeatherTest265,WeatherTest266,WeatherTest267,WeatherTest268,WeatherTest269,WeatherTest270,WeatherTest271,WeatherTest272,WeatherTest273,WeatherTest274,WeatherTest275
2019,4,3,4,30,-1,0,128.1,0.6,1021.4,1024.7,85.1,0,0,-0.9,0,128.7,0.7,1021.4,1024.7,85.5,0,0,-0.9,0,22.9,0.8,1021.4,1024.7,86.4,0,0,-0.9,0,135.8,0.6,1021.4,1024.7,86.8,0,0,-1,0,26.2,0.6,1021.4,1024.7,87,0,0,-1.1,0,24.8,0.6,1021.3,1024.6,87.1,0,0,-1.2,0,163.6,0.7,1021.3,1024.6,86.9,0,0,-1.3,0,181.4,0.7,1021.3,1024.6,86.8,0,0,-1.3,0,353.7,0.6,1021.3,1024.6,86.8,0,0,-1.3,0,351.7,0.6,1021.3,1024.6,86.8,0,0,-1.3,0,235.6,0.6,1021.3,1024.6,87.1,0,0,-1.4,0,231.3,0.5,1021.3,1024.6,87,0,0,-1.4,0,321,0.5,1021.4,1024.7,87.1,0,0,-1.4,0,214.4,0.5,1021.3,1024.6,86.9,0,0,-1.5,0,3.4,0.3,1021.3,1024.6,86,0,0,-1.1,0,116.2,0.4,1021.4,1024.7,84.9,0,0,-1.1,0,29.7,0.5,1021.4,1024.7,84.9,0,0,-1.2,0,113,0.4,1021.4,1024.7,84.8,0,0,-1.3,0,24.6,0.4,1021.4,1024.7,84.3,0,0,-1.5,0,92.5,0.5,1021.4,1024.7,84.4,0,0,-1.5,0,103.2,0.7,1021.4,1024.7,84.5,0,0,-1.5,0,29.4,0.8,1021.4,1024.7,84.9,0,0,-1.4,0,94.7,0.9,1021.5,1024.8,85.6,0,0,-1.3,0,29.6,0.9,1021.5,1024.8,85.9,0,0,-1.3,0,73.5,0.6,1021.5,1024.8,86.1,0,0,-1.3,0,40.9,0.8,1021.5,1024.8,86.3,0,0,-1.4,0,13.9,1.1,1021.5,1024.8,86.4,0,0,-1.4,0,14.6,1.1,1021.5,1024.8,86.8,0,0,-1.3,0,14.9,1,1021.5,1024.8,87,0,0,-1.4,0,44.4,0.8,1021.5,1024.8,87,0,0
2019,4,4,6,0,-0.8,0,0,0,1018.7,1022,97.2,0.01,0,-0.4,0,0,0,1018.7,1022,97.1,0.01,0,-0.2,0,0,0,1018.8,1022.1,97.2,0.01,0,-0.3,0,0,0,1018.8,1022.1,97.2,0.01,0,-0.4,0,0,0,1018.8,1022.1,97.1,0.01,0,-0.5,0,0,0,1018.8,1022.1,97.2,0.01,0,-0.5,0,0,0,1018.8,1022.1,97.1,0.01,0,-0.7,0,0,0,1018.8,1022.1,97.2,0.01,0,-0.9,0,0,0,1018.8,1022.1,97.2,0.01,0,-0.9,0,0,0,1018.8,1022.1,97.2,0.01,0,-1,0,0,0,1018.8,1022.1,97.1,0.01,0,-1,0,0,0,1018.8,1022.1,97.2,0.01,0,-1,0,0,0,1018.8,1022.1,97.2,0.01,0,-1,0,0,0,1018.8,1022.1,97.2,0.01,0,-0.9,0,0,0,1018.8,1022.1,97.1,0.01,0,-0.5,0,0,0.1,1018.7,1022,97.2,0.01,0,-0.6,0,0,0,1018.7,1022,97.2,0.01,0,-0.6,0,0,0,1018.7,1022,97.2,0.01,0,-0.6,0,0,0,1018.7,1022,97.2,0.01,0,-0.5,0,0,0,1018.7,1022,97.2,0.01,0,-0.6,0,0,0,1018.7,1022,97.2,0.01,0,-0.7,0,187.7,0.1,1018.7,1022,97.1,0.01,0,-0.9,0,0,0,1018.7,1022,97.2,0.01,0,-0.8,0,0,0,1018.7,1022,97.2,0.01,0,-0.8,0,0,0.1,1018.8,1022.1,97.1,0.01,0,-0.8,0,0,0.1,1018.8,1022.1,97.2,0.01,0,-0.8,0,305.2,0.2,1018.8,1022.1,97.2,0.01,0,-0.9,0,321.8,0.2,1018.8,1022.1,97.2,0.01,0,-0.9,0,315.1,0.3,1018.8,1022.1,97.2,0.01,0,-1,0,342.2,0.3,1018.8,1022.1,97.2,0.01,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,4,5,0,30,6.4,0,319.9,3.4,1010.8,1014,86.3,0,0,6.4,0,332.4,4.1,1010.8,1014,86.3,0,0,6.4,0,254.1,3.1,1010.9,1014.1,86.2,0,0,6.4,0,226.8,3.5,1011,1014.2,86.1,0,0,6.4,0,334.9,3,1011,1014.2,86.1,0,0,6.4,0,229.6,3.6,1010.9,1014.1,86.1,0,0,6.4,0,270.9,3.6,1011,1014.2,85.9,0,0,6.4,0,329.2,2.9,1010.9,1014.1,85.8,0,0,6.5,0,241,3,1011,1014.2,85.9,0,0,6.5,0,255.7,3.8,1010.9,1014.1,86.1,0,0,6.5,0,318.1,3.4,1011,1014.2,86.2,0,0,6.5,0,342.8,3.8,1011,1014.2,86.3,0,0,6.5,0,233.8,4.6,1011,1014.2,86.3,0,0,6.5,0,348,4.3,1011,1014.2,86.2,0,0,6.5,0,346.6,3,1011,1014.2,86.1,0,0,6.4,0,268.2,3.8,1010.8,1014,86.2,0,0,6.4,0,338.8,4,1010.8,1014,86.3,0,0,6.4,0,264.2,4.6,1010.8,1014,86.4,0,0,6.4,0,333.3,4.9,1010.7,1013.9,86.4,0,0,6.4,0,327.2,4.9,1010.7,1013.9,86.4,0,0,6.5,0,257,5,1010.7,1013.9,86.3,0,0,6.5,0,334.9,5.6,1010.7,1013.9,86.2,0,0,6.5,0,232.3,4.5,1010.7,1013.9,86.1,0,0,6.5,0,232.8,4.1,1010.6,1013.8,86,0,0,6.5,0,273.3,4.4,1010.6,1013.8,85.9,0,0,6.5,0,337.5,4.8,1010.6,1013.8,85.8,0,0,6.5,0,338.9,4.7,1010.6,1013.8,85.7,0,0,6.5,0,240.6,4.7,1010.5,1013.7,85.7,0,0,6.5,0,342.9,3.8,1010.5,1013.7,85.7,0,0,6.4,0,239,4.5,1010.5,1013.7,85.7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,4,6,0,30,3,0,0,0,1010.7,1013.9,63.1,0,0,2.9,0,337.7,0.1,1010.7,1013.9,63,0,0,3,0,329.2,0.3,1010.7,1013.9,61.9,0,0,3.1,0,297.2,0.4,1010.7,1013.9,60.8,0,0,3.3,0,321.6,0.4,1010.7,1013.9,60.7,0,0,3.3,0,299.3,0.2,1010.7,1013.9,60.9,0,0,3.2,0,332.4,0.5,1010.7,1013.9,61.1,0,0,3.2,0,310.1,0.5,1010.6,1013.8,61.4,0,0,3.1,0,322.9,0.5,1010.6,1013.8,61.6,0,0,3.1,0,314.5,0.2,1010.6,1013.8,61.3,0,0,3.1,0,328,0.3,1010.6,1013.8,61.1,0,0,3,0,355.4,0.6,1010.7,1013.9,60.9,0,0,3.1,0,344.5,0.4,1010.7,1013.9,60.8,0,0,3.1,0,0,0,1010.7,1013.9,60.4,0,0,3.3,0,0,0,1010.7,1013.9,60.2,0,0,3.3,0,33.6,0.5,1010.8,1014,60.8,0,0,3.5,0,87.3,0.9,1010.8,1014,59.9,0,0,3.6,0,73.9,0.8,1010.8,1014,59.3,0,0,3.7,0,29.4,0.6,1010.8,1014,58.9,0,0,3.7,0,29.8,0.6,1010.8,1014,58.9,0,0,3.7,0,84.4,0.6,1010.8,1014,58.6,0,0,3.6,0,35.1,0.5,1010.8,1014,58.8,0,0,3.5,0,103,0.2,1010.8,1014,59.4,0,0,3.4,0,0,0,1010.9,1014.1,60,0,0,3.3,0,0,0,1010.9,1014.1,60.1,0,0,3.1,0,0,0,1010.9,1014.1,61.1,0,0,2.9,0,0,0.1,1010.9,1014.1,61.6,0,0,2.8,0,0,0,1010.9,1014.1,62.1,0,0,2.8,0,0,0,1011,1014.2,62.4,0,0,3,0,0,0,1011,1014.2,62.7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
