Year,Month,Day,Hour,Minute,WeatherTest_45min3,WeatherTest_45min4,WeatherTest_45min5,WeatherTest_45min6,WeatherTest_45min7,WeatherTest_45min8,WeatherTest_45min9,WeatherTest_45min10,WeatherTest_45min11,WeatherTest_45min12,WeatherTest_45min13,WeatherTest_45min14,WeatherTest_45min15,WeatherTest_45min16,WeatherTest_45min17,WeatherTest_45min18
2019,4,3,4,30,160,0.1,1020.3,1023.6,80.4,0,0,-1.7,0,0,0.1,1020.4,1023.7,86.8,0,0
2019,4,4,6,0,29.5,0.6,1020.3,1023.6,81,0.01,0,-3,0,0,0,1021.1,1024.4,84.8,0.03,0
2019,4,4,12,30,352.3,4.5,1021,1024.2,19.9,9.64,17520,12,0,311.1,4.5,1020.6,1023.7,24.4,14.63,22920
2019,4,5,0,30,243.1,0.6,1021.8,1025.1,64.8,24.83,41880,0.1,0,13.5,0.7,1021.5,1024.8,78,0,0
2019,4,5,11,30,179.3,1.7,1022.6,1025.8,50.8,6.35,13920,12.4,0,331.3,3.7,1021.8,1024.9,41.8,10.31,18600
2019,4,6,0,30,0,0,1020.7,1024,85.1,22.91,40980,0.3,0,359.1,0.2,1020.5,1023.8,92.5,0,0
2019,4,7,2,0,261.2,4.1,1010.3,1013.5,86.9,0,0,7.4,0,345.6,5.9,1008.6,1011.8,88.6,0,0
2019,4,7,21,30,17.8,0.2,1009.6,1012.8,49,21.2,30480,8,0,327.6,2,1010.1,1013.3,37,21.2,30480
2019,4,8,2,0,0,0,1011.1,1014.3,61,0,0,2.6,0,16.2,1.9,1010.7,1013.9,65,0,0
2019,4,10,23,30,0,0,1015.7,1018.9,52.1,22.02,39720,4.7,0,23.2,2,1016.3,1019.5,59.2,0,0
2019,4,11,21,0,24.8,5.2,1008.2,1011.4,91.5,5.81,1260,5.9,20.4,44.4,5.2,1007.5,1010.7,94.8,5.81,1260
2019,4,12,7,30,20.6,4.9,1006.9,1010.1,94.9,0.01,0,5.9,1.4,38.5,2.1,1009.2,1012.4,87.6,0.2,0
2019,4,13,14,30,160.2,0.6,1012.3,1015.4,46.8,10.9,14940,14,0,341.2,4.3,1011.9,1015,48.4,14.08,18720
2019,4,14,7,0,24.7,1,1015,1018.2,97.2,0.01,0,5.6,0,173.2,0.4,1015.9,1019.1,97.2,0.43,1020
2019,4,14,14,30,352.8,2.7,1016.2,1019.3,24.5,16.37,22620,17.4,0,338.7,5,1015.9,1019,21.1,20.85,28020
2019,4,15,16,0,330.6,5.9,1015.9,1018.9,21.7,19.96,29280,15.8,0,328.1,3.2,1015.9,1019,20.3,22.92,34680
2019,4,16,6,0,243,1.6,1013.3,1016.5,51.6,0,0,8,0,331.7,1.4,1012.6,1015.8,64.2,0.04,0
2019,4,16,14,30,325,4,1012.4,1015.5,68.5,5.32,2880,12.8,1.7,344.8,5.7,1012,1015.1,64.5,8.8,7560
2019,4,17,2,30,272.6,0.9,1015.7,1019,93.4,0,0,0.6,0,0,0.1,1015.7,1019,93.3,0,0
2019,4,18,1,30,0,0,1017.6,1020.8,90.7,0,0,4,0,0,0,1016.3,1019.5,93.9,0,0
2019,4,20,22,0,329.3,1.1,1011.4,1014.5,96.3,9.79,8520,11.2,0,0,0,1011.4,1014.5,97.2,9.79,8520
2019,4,21,4,30,358.3,0.7,1011.8,1014.9,97.2,0.01,0,10.3,0,13.9,0.6,1012.4,1015.5,97.2,0.02,0
2019,4,21,14,30,347,4.5,1013.1,1016.2,64.6,10.58,10020,18.3,0,72.5,2.4,1012.3,1015.3,57.2,12.73,11700
2019,4,22,8,30,332.3,2.1,1013.4,1016.5,85.2,0.6,960,15.6,0,358.7,2,1013.6,1016.7,74,2.29,3960
2019,4,23,1,30,7.5,0.4,1011.4,1014.5,89.1,0,0,13.9,0,308.6,0.1,1010.5,1013.6,91.7,0.01,0
2019,4,23,23,30,38.3,0.8,1011.9,1015,91.4,9.21,10620,11.5,0,23.2,2,1012.3,1015.4,92.4,0,0
2019,4,24,12,0,344.8,0.5,1012.9,1015.9,38.9,8.79,16260,25.9,0,6.1,2.5,1011.4,1014.4,26.9,13.87,21660
2019,4,24,13,0,44.9,2.8,1011.9,1014.8,31.7,12.15,19860,27.6,0,351.7,1.4,1010.6,1013.5,26.7,17.25,25260
2019,4,25,17,0,236.2,2.7,1008.4,1011.4,67.6,1.87,0,16.4,0,218.3,0.9,1008.1,1011.2,82.9,2.41,0
2019,4,26,4,30,6,1.5,1005.5,1008.6,97.7,0,0,14.3,5.3,0.1,1.9,1004.9,1008,97.7,0,0
2019,4,27,7,30,335,1.2,1003.7,1006.8,97.7,0.12,0,13.5,0,206.6,1,1004.2,1007.3,94.5,0.62,0
2019,4,28,15,30,296.5,2.1,1010.1,1013.2,97.7,3.19,0,9,2,351.2,2.6,1010.2,1013.3,97.7,3.61,0
2019,4,29,9,30,356.4,1.4,1021.1,1024.3,65.1,3.37,8460,12.9,0,278.8,1.6,1021.2,1024.3,52.5,8.27,13860
2019,4,29,21,30,42,1.1,1017.6,1020.8,54,30.32,33060,10.3,0,57.6,1.8,1018.7,1021.9,64.5,30.32,33060
2019,4,30,8,0,99.5,1,1019.8,1023,81.6,0.11,0,10.3,0.2,131.1,1.1,1019.8,1023,68.2,0.58,0
2019,5,1,6,0,29.4,0.8,1014.1,1017.3,76.9,0.01,0,9.3,0,54.8,1.3,1013.9,1017.1,71.3,0.19,0
2019,5,1,17,30,2.8,2.3,1008.6,1011.7,73.6,9.64,5340,14.2,0,32.1,2.4,1008.3,1011.4,60.2,10.53,5340
2019,5,2,3,30,27.3,0.8,1008,1011.1,93.5,0,0,8.4,0,0,0,1007.7,1010.8,97.5,0,0
2019,5,3,23,30,209.3,0.4,1006,1009.1,90.5,12.87,40260,8,0,28.6,0.4,1006.5,1009.6,97.4,0,0
2019,5,4,1,30,0,0,1006.7,1009.9,97.4,0,0,7.2,0,0,0,1007,1010.2,97.5,0,0
2019,5,4,11,0,24,3.6,1010.7,1013.7,28.6,3.32,14280,20.7,0,1.5,2.5,1010.5,1013.5,21.3,5.83,19680
2019,5,4,12,30,1.5,2.5,1010.5,1013.5,21.3,5.83,19680,22.5,0,10.2,2,1010,1013,19,8.55,25080
2019,5,5,3,0,0,0,1012.3,1015.5,83.4,0,0,7.2,0,53.3,0.6,1012.4,1015.6,81.3,0,0
2019,5,5,15,30,216.2,4.1,1014,1017,29.5,18.9,30480,22.3,0,233.3,3.5,1013.4,1016.4,39.4,23.82,35880
2019,5,6,17,0,261.8,2.7,1014,1017,25.5,27.29,33360,23.9,0,287.3,2.6,1014,1017,26,29.85,38700
2019,5,8,5,0,1.1,3.5,1014.5,1017.6,41.7,0,0,10.3,0,309.5,3.2,1014.8,1018,40,0,0
2019,5,9,6,30,134.9,0.5,1015.2,1018.4,90.5,0.01,0,7.4,0,0,0,1015.9,1019.1,80.7,0.81,3720
