Year,Month,Day,Hour,Minute,TempOut,Precipitation,WindDirection,WindSpeed,LocalPressure,SurfacePressure,HumOut,Radiation,Sunlight
2019,4,2,4,30,-2.8,0,26.6,0.2,1020.6,1023.9,79.2,0.01,0
2019,4,3,6,0,-2,0,18.1,0.4,1021.6,1024.9,88.6,0.01,0
2019,4,3,12,30,12.4,0,290.9,4,1021.6,1024.7,36.3,11.13,19500
2019,4,4,0,30,1.1,0,312.7,0.6,1021,1024.3,91.2,0,0
2019,4,4,11,30,12.5,0,239.1,6.4,1017.4,1020.5,53.4,8.35,16380
2019,4,5,0,30,6.4,0,324.6,3.3,1010.8,1014,86.2,0,0
2019,4,6,2,0,2,0,0,0,1011.3,1014.5,66.1,0,0
2019,4,6,21,30,10,0,17.7,0.3,1007.8,1010.9,47.1,11.49,14460
2019,4,7,2,0,10.7,0,107,2.6,1008.3,1011.4,44.1,0,0
2019,4,9,23,30,5.4,26.1,15.2,4.3,1006.3,1009.5,95.3,5.81,1260
2019,4,10,21,0,5.3,1.4,180.2,0.8,1012.6,1015.8,90.2,6.9,5520
2019,4,11,7,30,2.2,0,43.3,0.2,1013.4,1016.6,97.2,0.34,720
2019,4,12,14,30,17.6,0,345.3,4,1015.7,1018.8,27.6,18.73,25320
2019,4,13,7,0,2.9,0,18.6,0.3,1018.5,1021.7,93,0.13,0
2019,4,13,14,30,17.5,0,325.3,3.2,1016.6,1019.7,18.1,17.87,26580
2019,4,14,16,0,13.1,1.7,341.7,4.9,1011.9,1015,63.1,10.35,10140
2019,4,15,6,0,-0.2,0,297.5,0.5,1016.2,1019.5,96.8,0,0
2019,4,15,14,30,16.5,0,280,6.1,1017,1020.1,26.5,19,28380
2019,4,16,2,30,3.9,0,0,0,1016.3,1019.5,94.2,0,0
2019,4,17,1,30,7.5,0,0,0,1012.6,1015.8,68.7,0,0
2019,4,19,22,0,14.1,0,50,0.4,1013.9,1017,63.9,16.17,18660
2019,4,20,4,30,12.2,0,262.6,0.9,1013.3,1016.4,86,0.02,0
2019,4,20,14,30,19.8,0,292.3,3.8,1011.5,1014.5,49.5,12.63,15360
2019,4,21,8,30,13.2,0.1,231.6,0.3,1011.1,1014.2,93.7,0.38,0
2019,4,22,1,30,10.4,0,24.1,0.8,1012.4,1015.5,95.8,0.01,0
2019,4,22,23,30,15,0,15.8,0.2,1013.2,1016.3,78,26.05,41700
2019,4,23,12,0,23.5,0,45.5,3.1,1009.5,1012.5,49.5,5.96,2700
2019,4,23,13,0,23.8,0,19.7,1.6,1008.7,1011.7,48.2,7.04,2700
2019,4,24,17,0,21.9,5.5,303.6,2.8,1002.5,1005.5,59.2,23.56,19860
2019,4,25,4,30,11.9,0,154.4,0.5,1003.5,1006.6,97.7,0.01,0
2019,4,26,7,30,8.3,0,183.1,1.4,1007.4,1010.5,94.4,0.2,0
2019,4,27,15,30,16,0,329.2,3.8,1017.9,1021,41.1,27.13,30900
2019,4,28,9,30,10.6,0.2,295.8,0.3,1020.2,1023.4,72.8,1.04,0
2019,4,28,21,30,10.5,0.2,38.2,0.9,1016.7,1019.9,63.6,20.01,12360
2019,4,29,8,0,13.1,0,44,1.7,1013.5,1016.6,57.4,1.44,3720
2019,4,30,6,0,9.5,0,23.7,2.5,1007.2,1010.3,94.1,0.02,0
2019,4,30,17,30,18,0,318.4,3.8,1004.7,1007.7,43.3,24.72,35820
2019,5,1,3,30,8.5,0,0,0.1,1005.4,1008.5,82.1,0,0
